@title,韓国語
#00265,수집가 모직봉
#00266,배추흰나비
#00267,호랑나비
#00268,꿀벌
#00269,잠자리
#00270,사마귀
#00271,매미
#00272,개미
#00273,무당벌레
#00274,반딧불이
#00275,비단벌레
#00276,장수풍뎅이
#00277,사슴벌레
#00278,거미
#00279,달팽이
#00280,대벌레
#00281,전갈
#00282,모포나비
#00283,헤라클레스
#00284,방울벌레
#00285,버드윙나비
#00286,송사리
#00287,금붕어
#00288,돔
#00289,아귀
#00290,돌돔
#00291,흰동가리
#00292,쏠배감펭
#00293,꽁치
#00294,북어
#00295,넙치
#00296,잉어
#00297,장어
#00298,클리오네
#00299,무지개송어
#00300,연서
#00301,문어
#00302,거피
#00303,에인절피시
#00304,오징어
#00305,실러캔스
#00306,사과 그림
#00307,꽃병 그림
#00308,가로수 그림
#00309,초상화
#00310,철새 그림
#00311,소녀 그림
#00312,바위그림
#00313,동양의 풍경화
#00314,노을 그림
#00315,신록 그림
#00316,천사 그림
#00317,외국 도자기
#00318,빛나는 향유병
#00319,고대 항아리
#00320,새하얀 흉상
#00321,인형
#00322,진실의 거울
#00323,고마운 동상
#00324,위대한 마스크
#00325,동양의 항아리
#00326,흰 알
#00327,푸른 알
#00328,초록색 알
#00329,붉은 알
#00330,보라색 알
#00331,검은 알
#00332,노란 알
#00333,무지갯빛 알
#00334,맨손
#00335,장비 안 함
#00336,쇠망치
#00337,곡괭이
#00338,벌초용 낫
#00339,괭이
#00340,횃불
#00341,정원삽
#00342,그물
#00343,물고기 그물
#00344,낚싯대
#00345,도끼
#00346,물뿌리개
#00347,땅 다지기
#00348,F/나무 지팡이
#00349,E/광석 지팡이
#00350,D/단단한 지팡이
#00351,C/마력의 지팡이
#00352,B/금강석 지팡이
#00353,F/철제 지팡이
#00354,E/우드 완드
#00355,C/뾰족한 지팡이
#00356,B/광휘의 지팡이
#00357,A/빛의 지팡이
#00358,E/푸른 지팡이
#00359,D/통곡의 지팡이
#00360,C/마력의 지팡이
#00361,B/뇌격의 지팡이
#00362,A/얼음 지팡이
#00363,E/붉은 지팡이
#00364,D/왕의 지팡이
#00365,C/선왕의 지팡이
#00366,A/전설의 지팡이
#00367,S/환상의 지팡이
#00368,F/목봉
#00369,E/단단한 봉
#00370,D/떡갈나무 봉
#00371,C/고목 봉
#00372,B/용사의 봉
#00373,E/굽은 막대기
#00374,D/주걱
#00375,C/봉
#00376,B/철봉
#00377,A/붉은 봉
#00378,D/메이스
#00379,C/클럽
#00380,B/모닝 스타
#00381,A/강철봉
#00382,S/황금봉
#00383,F/기원의 봉
#00384,D/신성한 봉
#00385,C/빛의 봉
#00386,A/천사의 봉
#00387,S/신의 봉
#00388,F/몽둥이
#00389,E/투박한 봉
#00390,D/스파이크
#00391,C/예술적인 봉
#00392,A/에메랄드 봉
#00393,F/나뭇가지
#00394,E/뾰족한 가지
#00395,D/뾰족한 봉
#00396,C/수공예 봉
#00397,B/날 선 가지
#00398,F/목제 창
#00399,E/철제 창
#00400,D/장인의 창
#00401,B/삼지창
#00402,A/전설의 창
#00403,E/낚시 작살
#00404,C/철제 작살
#00405,B/붉은 창
#00406,A/강철 창
#00407,S/화염의 창
#00408,E/구리 창
#00409,C/기사의 창
#00410,B/명장의 창
#00411,A/황금 창
#00412,S/검은 창
#00413,F/작은 망치
#00414,E/큰 망치
#00415,C/쇠망치
#00416,B/빅 해머
#00417,S/화염의 망치
#00418,E/해머
#00419,D/롱 해머
#00420,B/은제 망치
#00421,A/명공의 망치
#00422,S/황금 망치
#00423,E/검
#00424,D/강검
#00425,C/명공의 검
#00426,B/명장의 검
#00427,A/호걸의 검
#00428,F/과도
#00429,E/식칼
#00430,D/은제 식칼
#00431,B/명공의 식칼
#00432,A/황금 식칼
#00433,F/주머니칼
#00434,E/수술용 메스
#00435,C/은제 메스
#00436,B/번개의 메스
#00437,A/얼음의 단도
#00438,E/해적의 검
#00439,D/커틀래스
#00440,C/질풍의 검
#00441,A/물방울 검
#00442,S/화염의 검
#00443,E/병사의 검
#00444,D/소드
#00445,C/은제 검
#00446,B/파괴의 검
#00447,A/고대의 검
#00448,E/얼음의 나이프
#00449,D/얼음의 검
#00450,C/얼음의 대검
#00451,B/블리자드 소드
#00452,S/눈폭풍의 검
#00453,E/쿠나이
#00454,D/수리검
#00455,C/큰 수리검
#00456,B/화염 수리검
#00457,A/기가 수리검
#00458,F/도
#00459,D/사무라이 소드
#00460,C/무장의 도
#00461,B/명공의 도
#00462,A/전설의 도
#00463,F/동검
#00464,E/청동검
#00465,C/강철검
#00466,B/경량검
#00467,A/긍지의 검
#00468,E/장검
#00469,D/바스타드 소드
#00470,C/성자의 검
#00471,A/분노의 검
#00472,S/전설의 검
#00473,D/블랙 소드
#00474,C/암흑의 검
#00475,B/칠흑의 검
#00476,A/왕의 검
#00477,S/패왕의 검
#00478,D/평범한 소드
#00479,C/용기의 검
#00480,B/용자의 검
#00481,A/불멸의 검
#00482,S/세계수의 검
#00483,F/소설책
#00484,D/연구서
#00485,E/돋보기
#00486,C/고문서
#00487,B/그림붓
#00488,D/소총
#00489,C/화승총
#00490,B/머스킷 총
#00491,A/강화된 총
#00492,S/황금 총
#00493,D/활
#00494,C/병사용 활
#00495,B/사냥꾼의 활
#00496,A/고속의 활
#00497,S/강자의 활
#00498,F/손도끼
#00499,D/벌목용 도끼
#00500,C/강철 도끼
#00501,B/배틀 액스
#00502,S/전설의 도끼
#00503,A/카이로 소드
#00504,A/카이로 해머
#00505,A/카이로 랜스
#00506,A/카이로 보우
#00507,A/카이로 건
#00508,F/나무 방패
#00509,F/가죽 방패
#00510,E/병사용 방패
#00511,E/둥근 방패
#00512,D/철 방패
#00513,C/고귀한 방패
#00514,A/용자의 방패
#00515,A/크리스탈 실드
#00516,B/등딱지 방패
#00517,S/와이로 실드
#00518,B/과학의 방패
#00519,A/성스러운 방패
#00520,D/수공예 방패
#00521,D/단단한 방패
#00522,C/악몽의 방패
#00523,B/역전의 방패
#00524,B/초목의 방패
#00525,S/리플렉트 실드
#00526,A/골드 실드
#00527,S/광휘의 방패
#00528,C/마왕의 방패
#00529,B/전설의 방패
#00530,C/패왕의 방패
#00531,S/카이로 실드
#00532,F/허리띠
#00533,F/천옷
#00534,F/옷
#00535,E/노란색 옷
#00536,E/튼튼한 옷
#00537,D/유행하는 옷
#00538,D/두꺼운 옷
#00539,D/체인 속옷
#00540,C/스커트
#00541,B/원피스
#00542,D/파자마
#00543,C/털가죽 코트
#00544,C/코트
#00545,C/로브
#00546,B/고급 로브
#00547,C/예복
#00548,D/망토
#00549,C/튼튼한 망토
#00550,B/보라색 망토
#00551,A/왕의 망토
#00552,E/가죽 흉갑
#00553,D/철제 흉갑
#00554,C/가죽 갑옷
#00555,C/라이트 메일
#00556,B/브론즈 아머
#00557,B/실버 아머
#00558,A/신록의 갑주
#00559,A/중갑주
#00560,S/황금 갑주
#00561,S/블랙 메일
#00562,F/반다나
#00563,F/카투사
#00564,F/머리띠
#00565,F/터번
#00566,E/모자
#00567,E/헬멧
#00568,D/반다나
#00569,D/천 머리띠
#00570,D/천 모자
#00571,F/요리 모자
#00572,F/실크 모자
#00573,F/모자
#00574,F/성스러운 모자
#00575,E/천사의 반지
#00576,E/해적 모자
#00577,E/제독모
#00578,D/깃털 반다나
#00579,D/깃털 모자
#00580,D/깃털 투구
#00581,D/마법 모자
#00582,C/마법사 모자
#00583,B/마도 모자
#00584,A/전설의 모자
#00585,B/마력의 모자
#00586,C/미늘 모자
#00587,B/샴푸 모자
#00588,A/카이로 모자
#00589,S/왕관
#00590,A/티아라
#00591,D/척후병 모자
#00592,C/위병 모자
#00593,C/구리 투구
#00594,C/헬멧
#00595,B/철 가면
#00596,B/철 투구
#00597,A/검은 투구
#00598,S/황금 투구
#00599,A/용의 투구
#00600,A/로보 헬멧
#00601,E/목장식
#00602,D/네클리스
#00603,C/수호 부적
#00604,B/푸른 펜던트
#00605,A/붉은 펜던트
#00606,S/황금 펜던트
#00607,C/마력의 펜던트
#00608,B/황금 팔찌
#00609,D/가죽 밴드
#00610,C/손목 밴드
#00611,S/금메달
#00612,D/스카프
#00613,B/목걸이
#00614,A/황금 목걸이
#00615,D/반지
#00616,C/진주 반지
#00617,B/은반지
#00618,A/광옥의 반지
#00619,S/금반지
#00620,C/장갑
#00621,B/가죽 장갑
#00622,A/실크 장갑
#00623,B/은귀걸이
#00624,A/금귀걸이
#00625,S/왕가의 귀걸이
#00626,E/가죽 신발
#00627,F/나무 신발
#00628,D/덱 슈즈
#00629,A/은제 부츠
#00630,B/부츠
#00631,S/깃털 부츠
#00632,C/양초
#00633,B/부적
#00634,A/황금 벨
#00635,B/붉은 리본
#00636,A/리본
#00637,C/나무 조각상
#00638,C/자루
#00639,B/황금 자루
#00640,S/소프코 피규어
#00641,S/산타 지팡이
#00642,S/산타 실드
#00643,=#00001
#00644,발견
#00645,‘<0>’<br><1>개 획득!
#00646,취득
#00647,다이아 <0><br>획득!
#00648,<0> <1>개를<br>획득했습니다!
#00649,<0>에<br>새로운 동료가 생겼다!
#00650,<0>번째 <1><br><2>
#00651,이벤트 메시지
#00652,최고 점수를 갱신하지 못했습니다…
#00653,사용
#00654,‘<0>’ 아이템을<br><1>개 사용했다
#00655,이벤트
#00656,갑자기 에너지가<br>가득 찼다!
#00657,기적이 일어나<br>영토가 조금 넓어졌다!
#00658,스킬 <0> <1>개를<br>획득했습니다!
#00659,구역 발견
#00660,개척하지 않은<br>새로운 구역을<br>발견했습니다!!
#00661,직업 추가
#00662,D급 상공업자와 연구가를<br>소개받았다!
#00663,이동속도가 오릅니다.
#00664,다리를 놓습니다.
#00665,관광객을 맞아들입니다.
#00666,좁은 토지입니다.
#00667,평범한 토지입니다.
#00668,넓은 토지입니다.
#00669,엄청 넓은 토지입니다.
#00670,마을의 중심이 되는 시설입니다.
#00671,적 침략을 잠깐 동안 막습니다.
#00672,적 침략을 어느 정도 막습니다.
#00673,적 침략을 막습니다.
#00674,적 침략을 상당히 오래 막습니다.
#00675,방벽을 드나들 수 있습니다.
#00676,영지를 조금 넓히는 시설
#00677,마을의 <pic=grass>을 보관하는 시설
#00678,마을의 <pic=food>을 보관하는 시설
#00679,마을의 <pic=wood>를 보관하는 시설
#00680,마을의 <pic=iron>을 보관하는 시설
#00681,마을의 <pic=magic>을 보관하는 시설
#00682,마을의 아이템을 보관하는 시설
#00683,에너지를 보관하는 시설
#00684,보물을 보관하는 시설
#00685,때때로 수산물이 나타납니다.
#00686,<pic=grass>을 수확하는 시설
#00687,<pic=wood>를 벌채하는 시설
#00688,낙농가가 <pic=food>을 채집하는 시설
#00689,<pic=iron>을 채굴하는 시설
#00690,<pic=magic>을 채굴하는 시설
#00691,에너지를 채굴하는 시설
#00692,주위에 효과를 미치는 시설
#00693,MP와 활력이 잘 회복된다.
#00694,관광객을 마을로 안내하는 시설
#00695,영지 밖 황무지를 개간하는 거점
#00696,말을 빌려갈 수 있는 시설
#00697,두 마을 간 물품을 옮기는 시설
#00698,보물을 감정할 수 있는 시설
#00699,회복할 수 있는 시설
#00700,연구할 수 있는 시설
#00701,이용하면 경험치를 얻을 수 있다.
#00702,간단한 요리를 만들 수 있는 시설
#00703,침략 온 적을 유인합니다.
#00704,이용하면 때때로 뭔가를 얻는다.
#00705,주변의 내구도가 오르는 시설
#00706,초목이 우거진 곳에 설치하세요
#00707,영지 밖에서 채집하는 거점
#00708,가게에 쓰일 재료를 놓습니다.
#00709,기분 좋게 잘 수 있습니다.
#00710,동거인을 설정할 수 있습니다.
#00711,상품을 건네는 곳
#00712,상품을 진열하는 곳
#00713,국왕이 때때로 뽐내는 곳입니다.
#00714,연구에 쓰이는 시설입니다.
#00715,회복에 도움을 줍니다.
#00716,장신구를 만들어 판매합니다.
#00717,음식을 만들어 판매합니다.
#00718,보물을 감정합니다.
#00719,가구를 만들어 판매합니다.
#00720,무기를 만들어 판매합니다.
#00721,방어구를 만들어 판매합니다.
#00722,기술을 만들어 판매합니다.
#00723,아이템을 만들어 판매합니다.
#00724,때때로 아이템을 얻습니다.
#00725,때때로 광석을 얻습니다.
#00726,때때로 요리를 발견합니다.
#00727,씨를 수확할 수 있습니다.
#00728,방을 꾸밀 수 있습니다.
#00729,수련을 통해 능력을 기릅니다.
#00730,때때로 물이 나옵니다.
#00731,공구를 얻을 수 있습니다.
#00732,이용하면 경험치를 얻을 수 있다.
#00733,광석을 얻을 수 있습니다.
#00734,친구가 잠시 머물 수 있는 시설
#00735,관광 온 모험가가 머무는 시설
#00736,아이를 맞이하기 위한 가구
#00737,집주인이 토벌을 떠나면 따라간다.
#00738,수명을 다한 사람에게 도움이 된다.
#00739,황폐합니다.
#00740,드래곤을 타고 갈 수 있습니다.
#00741,침략 온 적을 빠트립니다.
#00742,침략 온 적에 맞서 싸워줍니다.
#00743,파견 중인 동료가 회복하는 시설
#00744,장비를 강화할 수 있는 시설
#00745,친구를 관리하는 시설
#00746,미션을 관리하는 시설
#00747,친구와 협력하는 시설
#00748,비보를 취급하는 시설
#00749,몬스터를 관리하는 시설
#00750,트로피를 받을 수 있는 시설
#00751,매일 랭킹에 도전하는 시설
#00752,친구를 찾아볼 수 있는 시설
#00753,A랭크 이하 직업을 중매하는 시설
#00754,소재를 파는 시설
#00755,금전과 교환할 수 있는 시설
#00756,동료를 스승으로 둘 수 있는 시설
#00757,몬스터를 합성할 수 있는 시설
#00758,몬스터를 판매하는 시설
#00759,카이로군과 싸울 수 있는 시설
#00760,전 세계 유저와 싸울 수 있는 시설
#00761,대단히 긍지 높은 왕이었습니다.
#00762,동전을 보관하는 시설
#00763,은전을 보관하는 시설
#00764,금전을 보관하는 시설
#00765,항상 고마운 존재
#00766,보물을 보관하는 시설
#00767,아이템을 보관하는 시설
#00768,마을 아이들을 보살피는 시설
#00769,밖에 두면 밤에 적들이 들끓는다.
#00770,침략해 온 적이 꼬이는 시설입니다.
#00771,알을 보관하는 시설
#00772,때때로 선물을 줍니다.
#00773,강력한 몬스터가 살고 있습니다.
#00774,마을 간 이사를 담당합니다
#00775,장비를 교환할 수 있는 시설
#00776,다양한 물건을 사들이는 시설
#00777,데이트하면 친밀도가 오릅니다.
#00778,영지에 있는 물웅덩이를 메꾼다.
#00779,예술 작품을 창작하는 방
#00780,조사 거점이 되는 방
#00781,곤충을 채집할 수 있는 곳
#00782,비행선 승객들이 즐기는 전시대
#00783,계산대와 교체할 수 있다.
#00784,순록을 탈 수 있는 시설
#00785,비행선이 주기하는 곳
#00786,수집품을 소장하는 곳
#00787,물고기를 낚을 수 있는 곳
#00788,융단을 탈 수 있는 시설
#00789,=#00001
#00790,D~A급 건축물이 등장!
#00791,<0>월 <1>일~<2>일까지 <3> 출현 중
#00792,상급 창고
#00793,D~A급 무기가 등장!
#00794,n/a
#00795,D～A급 무기 GET 10일까지 카이로 시리즈 출현
#00796,D～A급 무기 GET 25일까지 카이로 시리즈 출현
#00797,오늘은 S급 지팡이 계열 무기가 출현 중!
#00798,오늘은 S급 곤봉 계열 무기가 출현 중!
#00799,오늘은 S급 창 계열 무기가 출현 중!
#00800,오늘은 S급 망치 계열 무기가 출현 중!
#00801,오늘은 S급 검 계열 무기가 출현 중!
#00802,오늘은 S급 총 계열 무기가 출현 중!
#00803,오늘은 S급 활 계열 무기가 출현 중!
#00804,오늘은 S급 도끼 계열 무기가 출현 중!
#00805,친구를 도우면 보너스 GET!
#00806,=#00794
#00807,멋진 아이템이 등장!
#00808,=#00794
#00809,C～A급 직업이 등장!
#00810,=#00001
#00811,<0>월 <1>일~<2>일까지 ‘<3>’ 출현 중!
#00812,S급 사무라이
#00813,S급 바이킹
#00814,S급 해적
#00815,S급 용사
#00816,S급 위저드
#00817,S급 상공업자
#00818,S급 중기사
#00819,S급 거너
#00820,S급 궁수
#00821,S급 닌자
#00822,S급 수도사
#00823,S급 위병
#00824,S급 기사
#00825,S급 마법사
#00826,오늘은 전 직업 S급 출현 중!
#00827,S급 산타
#00828,안녕하세요.<br>곧 건국의 땅으로 이동합니다.<br>잠시만 기다려주세요.
#00829,화면에 개체가 너무 많다면<br>메뉴 → ‘설정’에서<br>조절해보세요.
#00830,게임을 삭제하면<br>데이터가 사라지니<br>조심하세요!
#00831,통신 상태가 좋은 곳에서<br>플레이해주세요!
#00832,게임을 잠시 쉴때는<br>꼭 저장해주세요.<br>※자동 저장도 된답니다.
#00833,게임 정보는 주로<br>단말기에 저장됩니다<br>용량에 주의하세요
#00834,마구간을 설치하면<br>동료가 파견 나갈 때<br>사용한답니다
#00835,구름을 걷어내다 보면<br>마을이 랭크업합니다
#00836,풀은…<br>밭을 만들면<br>손쉽게 얻을 수 있어요
#00837,목재는…<br>벌목소를 만들면<br>손쉽게 얻을 수 있어요
#00838,식량은…<br>낙농가를 동료로 들이면<br>손쉽게 얻을 수 있어요
#00839,광석은…<br>사막 혹은 암반을 파면<br>나오곤 합니다
#00840,마석은…<br>붉은 돌을 채굴하면<br>나오곤 합니다
#00841,에너지를 더 많이 얻고 싶다면<br>발굴 시설을 만들어보세요.
#00842,자원을 많이 모으기 위해선<br>창고를 많이<br>지어야 합니다
#00843,밤이 되면…<br>적이 침략하기도 합니다.<br>근처에 있는 적을 무찔러 두세요!
#00844,어느 구역에는<br>왕국 발전에 도움이 될<br>‘비보’가 숨겨져 있답니다!
#00845,구름이 있는 곳으로<br>파견을 보내<br>영지를 넓힙시다
#00846,여관에 묵고 있는 모험가는<br>보스와 싸울 때<br>도와줍니다
#00847,기술을 얻으면<br>장비할 수 있는 사람에게<br>익혀둡시다
#00848,무기점과 방어구점을 열면<br>무기와 방어구를<br>살 수 있답니다
#00849,빛나는 몬스터가 나타나면<br>주력 인원을 보내<br>무찌릅시다!
#00850,항구에서 마을에 있는<br>가게까지 간판을 세워<br>손님을 안내하세요
#00851,전설의 대장간을 찾아내<br>무기를 강화하세요
#00852,토벌하러 간<br>친구를 돕는다면<br>답례를 받을 수도 있어요!
#00853,마을에 불러들인 관광객이<br>마을에 있는 가게를 이용하면<br>동전을 얻을 수 있어요
#00854,카이로 계정에<br>로그인해서<br>보너스를 받으세요
#00855,새로운 구역을 발견하면<br>보스와 가까워지도록<br>파견 위치를 조정해주세요
#00856,무기에는 장소에 따른<br>상성이 있어서<br>잘 맞으면 공격력이 올라요
#00857,무기점과 방어구점<br>공방의 레벨을 올리면<br>새로운 상품을 발견할 수 있어요
#00858,보스에게 파견한 동료들이<br>모두 도착하면<br>적들이 쏟아져 나와요
#00859,개척이 어느 정도 진행되면<br>친구를 등록할 수 있어요!
#00860,메뉴 → ‘목록’에 있는<br>전체용 아이템을<br>잘 활용해주세요
#00861,창고의 용량을 늘리려면<br>같은 종류의 창고를<br>다수 설치해야 해요
#00862,고양미 씨의 튜토리얼은<br>×버튼을 눌러 넘길 수 있어요
#00863,황무지를 원상태로 되돌리는<br>전체용 아이템이 있어요
#00864,너무 멀리 떨어져 있는 물건은<br>주으러 가지 않아요
#00865,동전을 얻으면<br>’동전 상자’를 만들어 주세요!
#00866,평민의 집
#00867,왕의 방
#00868,무기점
#00869,방어구점
#00870,아이템점
#00871,가구점
#00872,기술점
#00873,여관
#00874,음식점
#00875,장신구점
#00876,회복소
#00877,감정소
#00878,연구소
#00879,병원
#00880,교회
#00881,저택
#00882,몬스터 하우스
#00883,조사단실
#00884,과수원
#00885,산타 하우스
#00886,화실
#00887,곤충관
#00888,수족관
#00889,동물원
#00890,박물관
#00891,다이아
#00892,=#00001
#00893,풀
#00894,목재
#00895,식량
#00896,광석
#00897,마석
#00898,에너지
#00899,직업 무역권
#00900,장비 무역권
#00901,시설 무역권
#00902,아이템 무역권
#00903,친구 무역권
