@title,中文(繁體)
#00212,=MID(#00143,1,-1)&'70'
#00213,=MID(#00143,1,-1)&'71'
#00214,=MID(#00143,1,-1)&'72'
#00215,=MID(#00143,1,-1)&'73'
#00216,=MID(#00143,1,-1)&'74'
#00217,=MID(#00143,1,-1)&'75'
#00218,=MID(#00143,1,-1)&'76'
#00219,=MID(#00143,1,-1)&'77'
#00220,=MID(#00143,1,-1)&'78'
#00221,=MID(#00143,1,-1)&'79'
#00222,=MID(#00143,1,-1)&'80'
#00223,=MID(#00143,1,-1)&'81'
#00224,=MID(#00143,1,-1)&'82'
#00225,=MID(#00143,1,-1)&'83'
#00226,=MID(#00143,1,-1)&'84'
#00227,=MID(#00143,1,-1)&'85'
#00228,=MID(#00143,1,-1)&'86'
#00229,=MID(#00143,1,-1)&'87'
#00230,=MID(#00143,1,-1)&'88'
#00231,=MID(#00143,1,-1)&'89'
#00232,=MID(#00143,1,-1)&'90'
#00233,=MID(#00143,1,-1)&'91'
#00234,=MID(#00143,1,-1)&'92'
#00235,=MID(#00143,1,-1)&'93'
#00236,=MID(#00143,1,-1)&'94'
#00237,=MID(#00143,1,-1)&'95'
#00238,=MID(#00143,1,-1)&'96'
#00239,=MID(#00143,1,-1)&'97'
#00240,=MID(#00143,1,-1)&'98'
#00241,=MID(#00143,1,-1)&'99'
#00242,=MID(#00143,1,-1)&'100'
#00243,居民
#00244,敵人
#00245,丸濱川羊
#00246,客人
#00247,阿南先生
#00248,狒狒G
#00249,森野大熊
#00250,歪羅君
#00251,阿布法拉國王
#00252,農村女孩
#00253,農村男孩
#00254,夢幻鍛造屋
#00255,衛兵男孩
#00256,謎之鄰國國王
#00257,謎之鄰國公主
#00258,農民男孩
#00259,鎮民女孩
#00260,王國公會會長
#00261,附近的國王
#00262,獎盃王
#00263,開羅君
#00264,搬家神
#00265,收藏家 年糕豬
#00266,紋白蝶
#00267,鳳蝶
#00268,蜜蜂
#00269,蜻蜓
#00270,螳螂
#00271,蟬
#00272,螞蟻
#00273,瓢蟲
#00274,螢火蟲
#00275,吉丁蟲
#00276,獨角仙
#00277,鍬形蟲
#00278,蜘蛛
#00279,蝸牛
#00280,竹節蟲
#00281,蠍子
#00282,閃蝶
#00283,赫克力士長戟大兜蟲
#00284,鈴蟲
#00285,紅頸鳳蝶
#00286,青鱂魚
#00287,金魚
#00288,鯛魚
#00289,深海鮟鱇
#00290,石鯛
#00291,小丑魚
#00292,獅子魚
#00293,秋刀魚
#00294,河豚
#00295,比目魚
#00296,鯉魚
#00297,鰻魚
#00298,海天使
#00299,虹鱒
#00300,鮭魚
#00301,章魚
#00302,孔雀魚
#00303,神仙魚
#00304,烏賊
#00305,腔棘魚
#00306,蘋果的圖畫
#00307,花瓶的圖畫
#00308,行道樹的圖畫
#00309,某幅方形肖像
#00310,候鳥的圖畫
#00311,少女的圖畫
#00312,大石頭的圖畫
#00313,東洋風景畫
#00314,夕陽的圖畫
#00315,新綠的圖畫
#00316,天使的雕像
#00317,異國的瓷器
#00318,閃耀的香油壺
#00319,古代的壺
#00320,白色胸像
#00321,人偶
#00322,真實之鏡
#00323,珍貴的雕像
#00324,偉大的面具
#00325,東洋的壺
#00326,白色的蛋
#00327,藍色的蛋
#00328,綠色的蛋
#00329,紅色的蛋
#00330,紫色的蛋
#00331,黑色的蛋
#00332,黃色的蛋
#00333,七彩的蛋
#00334,空手
#00335,無裝備
#00336,鐵鎚
#00337,十字鎬
#00338,割草鐮刀
#00339,鋤頭
#00340,火把
#00341,鏟子
#00342,網子
#00343,漁網
#00344,釣竿
#00345,斧頭
#00346,澆水器
#00347,整地耙
#00348,F/木製手杖
#00349,E/礦石手杖
#00350,D/堅固手杖
#00351,C/魔力手杖
#00352,B/金剛石手杖
#00353,F/鐵製手杖
#00354,E/木杖
#00355,C/尖銳手杖
#00356,B/光輝手杖
#00357,A/光之杖
#00358,E/藍色手杖
#00359,D/嘆息之杖
#00360,C/閃電之杖
#00361,B/雷擊之杖
#00362,A/冰之杖
#00363,E/紅色手杖
#00364,D/國王手杖
#00365,C/先王手杖
#00366,A/傳說之杖
#00367,S/夢幻之杖
#00368,F/木棒
#00369,E/堅固的棒子
#00370,D/橡木棒
#00371,C/古木棒
#00372,B/勇者之棒
#00373,E/彎曲的棒子
#00374,D/飯匙
#00375,C/棒子
#00376,B/鐵棒
#00377,A/紅色棒子
#00378,D/錘矛
#00379,C/球棒
#00380,B/釘頭錘
#00381,A/鋼鐵棒
#00382,S/黃金棒
#00383,F/祈禱之棒
#00384,D/神聖之棒
#00385,C/光之棒
#00386,A/天使之棒
#00387,S/眾神之棒
#00388,F/棍棒
#00389,E/粗壯的棒子
#00390,D/釘棒
#00391,C/藝術棒
#00392,A/祖母綠棒
#00393,F/樹枝
#00394,E/刺人樹枝
#00395,D/尖銳的棒子
#00396,C/民藝棒
#00397,B/樹枝劍
#00398,F/木矛
#00399,E/鐵矛
#00400,D/名匠的矛
#00401,B/三叉戟
#00402,A/傳說之矛
#00403,E/漁夫的魚叉
#00404,C/鐵製魚叉
#00405,B/紅色的矛
#00406,A/鋼鐵矛
#00407,S/炎之矛
#00408,E/銅矛
#00409,C/騎士之矛
#00410,B/名將之矛
#00411,A/黃金之矛
#00412,S/黑色的矛
#00413,F/小槌
#00414,E/大槌
#00415,C/鐵鎚
#00416,B/巨大戰鎚
#00417,S/炎之槌
#00418,E/槌
#00419,D/長柄槌
#00420,B/白銀槌
#00421,A/名匠槌
#00422,S/黃金槌
#00423,E/劍
#00424,D/鋼之劍
#00425,C/名匠劍
#00426,B/名將劍
#00427,A/豪傑劍
#00428,F/水果刀
#00429,E/菜刀
#00430,D/白銀菜刀
#00431,B/名匠菜刀
#00432,A/黃金菜刀
#00433,F/小刀
#00434,E/手術刀
#00435,C/白銀手術刀
#00436,B/閃電手術刀
#00437,A/冰之小刀
#00438,E/海賊劍
#00439,D/水手軍刀
#00440,C/疾風之劍
#00441,A/水滴之劍
#00442,S/火之劍
#00443,E/士兵劍
#00444,D/長劍
#00445,C/銀之劍
#00446,B/破壞之劍
#00447,A/古代劍
#00448,E/冰之小刀
#00449,D/冰之劍
#00450,C/冰之大劍
#00451,B/暴雪長劍
#00452,S/吹雪之劍
#00453,E/苦無
#00454,D/手裡劍
#00455,C/大手裡劍
#00456,B/火炎手裡劍
#00457,A/GIGA手裡劍
#00458,F/刀
#00459,E/武士長劍
#00460,C/武將刀
#00461,B/名匠刀
#00462,A/傳說中的刀
#00463,F/銅劍
#00464,E/青銅劍
#00465,C/鋼鐵劍
#00466,B/輕量劍
#00467,A/榮耀之劍
#00468,E/較長的劍
#00469,D/變種劍
#00470,C/聖人之劍
#00471,A/憤怒之劍
#00472,S/傳說之劍
#00473,D/黑色長劍
#00474,C/暗黑劍
#00475,B/漆黑之劍
#00476,A/王之劍
#00477,S/霸王之劍
#00478,D/普通長劍
#00479,C/勇氣之劍
#00480,B/勇者之劍
#00481,A/不滅之劍
#00482,S/世界樹之劍
#00483,F/小說書
#00484,D/研究書
#00485,E/放大鏡
#00486,C/古文書
#00487,B/畫筆
#00488,D/步槍
#00489,C/火繩槍
#00490,B/滑膛槍
#00491,A/強力槍
#00492,S/黃金槍
#00493,D/弓
#00494,C/步兵弓
#00495,B/獵人弓
#00496,A/高速弓
#00497,S/強者弓
#00498,F/手斧
#00499,D/樵夫斧
#00500,C/鋼鐵斧
#00501,B/戰斧
#00502,S/傳說之斧
#00503,A/開羅長劍
#00504,A/開羅槌
#00505,A/開羅矛
#00506,A/開羅弓
#00507,A/開羅火槍
#00508,F/木盾
#00509,F/皮盾
#00510,E/士兵盾
#00511,E/圓盾
#00512,D/鐵盾
#00513,C/高貴的盾
#00514,A/勇者之盾
#00515,A/水晶護盾
#00516,B/甲殼盾
#00517,S/歪羅護盾
#00518,B/科學盾
#00519,A/神聖之盾
#00520,D/民藝盾
#00521,D/堅固的盾
#00522,C/惡夢之盾
#00523,B/傳統盾
#00524,B/綠色的盾
#00525,S/反射護盾
#00526,A/黃金護盾
#00527,S/光輝之盾
#00528,C/魔王盾
#00529,B/傳說之盾
#00530,C/霸王之盾
#00531,S/開羅護盾
#00532,F/圍裙
#00533,F/布製衣服
#00534,F/衣服
#00535,E/黃色的衣服
#00536,E/耐用的衣服
#00537,D/流行服裝
#00538,D/厚實的衣服
#00539,D/鎖子甲
#00540,C/短裙
#00541,B/連衣裙
#00542,D/睡衣
#00543,C/毛皮大衣
#00544,C/大衣
#00545,C/長袍
#00546,B/高級長袍
#00547,C/家紋袴
#00548,D/披風
#00549,C/耐用披風
#00550,B/紫色披風
#00551,A/王之披風
#00552,E/皮製胸甲
#00553,D/鐵製胸甲
#00554,C/皮鎧
#00555,C/輕鎧
#00556,B/銅制鎧甲
#00557,B/白銀鎧甲
#00558,A/綠色鎧甲
#00559,A/沉重鎧甲
#00560,S/黃金鎧甲
#00561,S/黑色鎧甲
#00562,F/頭巾
#00563,F/髮箍
#00564,F/髮帶
#00565,F/纏頭巾
#00566,E/帽子
#00567,E/頭盔
#00568,D/頭巾
#00569,D/一字巾
#00570,D/護額
#00571,F/廚師帽
#00572,F/高筒禮帽
#00573,F/帽子
#00574,F/神聖帽子
#00575,E/天使的光圈
#00576,E/海賊帽
#00577,E/提督帽
#00578,D/羽飾頭巾
#00579,D/羽飾帽
#00580,D/羽飾頭盔
#00581,D/魔法帽
#00582,C/魔法使帽
#00583,B/魔道帽
#00584,A/傳說中的帽子
#00585,B/魔力帽
#00586,C/鎖鏈帽
#00587,B/洗頭帽
#00588,A/開羅帽
#00589,S/王冠
#00590,A/頭冠
#00591,D/看守帽
#00592,C/衛兵帽
#00593,C/銅頭盔
#00594,C/頭盔
#00595,B/鐵假面
#00596,B/鐵製頭盔
#00597,A/黑色頭盔
#00598,S/黃金頭盔
#00599,A/龍之頭盔
#00600,A/機器人頭盔
#00601,E/首飾
#00602,D/項鍊
#00603,C/護身符
#00604,B/藍色墜飾
#00605,A/紅色墜飾
#00606,S/黃金墜飾
#00607,C/魔力墜飾
#00608,B/黃金手環
#00609,D/皮製腕帶
#00610,C/腕套
#00611,S/金牌
#00612,D/絲巾
#00613,B/項圈
#00614,A/黃金項圈
#00615,D/戒指
#00616,C/珍珠戒指
#00617,B/銀戒指
#00618,A/光玉戒指
#00619,S/黃金戒指
#00620,C/手套
#00621,B/皮手套
#00622,A/絲質手套
#00623,B/銀耳環
#00624,A/黃金耳環
#00625,S/王家的耳環
#00626,E/皮鞋
#00627,F/木鞋
#00628,D/甲板鞋
#00629,A/白銀靴
#00630,B/長靴
#00631,S/羽飾長靴
#00632,C/蠟燭
#00633,B/符咒
#00634,A/黃金鈴鐺
#00635,B/紅色緞帶
#00636,A/緞帶
#00637,C/木雕像
#00638,C/布袋
#00639,B/黃金袋
#00640,S/開羅姬公仔
#00641,S/聖誕老人手杖
#00642,S/聖誕老人護盾
#00643,=#00001
#00644,發現
#00645,得到<1>個<br>「<0>」！
#00646,得到
#00647,得到<br>鑽石 <0>！
#00648,得到<1>個<br><0>！
#00649,<0>中增加了<br>新的夥伴！
#00650,第<0>位的<1><br><2>
#00651,事件訊息
#00652,未能刷新最高得分……
#00653,使用
#00654,使用了<1>個<br>「<0>」道具
#00655,事件
#00656,能量竟然<br>填滿了！
#00657,發生了奇蹟，<br>城市的範圍稍微擴展了！
#00658,得到<1>個<br>技能 <0>！
#00659,發現區域
#00660,發現了<br>未開拓的<br>新區域！！
#00661,追加職業
#00662,得到了D級鎮民<br>與研究家的介紹！
#00663,提升移動速度。
#00664,搭橋。
#00665,迎接觀光客。
#00666,狹窄的土地。
#00667,普通的土地。
#00668,寬廣的土地。
#00669,超寬廣的土地。
#00670,能夠成為城市中心的設施。
#00671,能夠稍微防範敵人入侵。
#00672,能夠大致防範敵人入侵。
#00673,能夠防範敵人入侵。
#00674,能夠有效防範敵人入侵。
#00675,能夠進出防壁。
#00676,能讓領地稍微擴展的設施
#00677,保管城市的<pic=grass>的設施
#00678,保管城市的<pic=food>的設施
#00679,保管城市的<pic=wood>的設施
#00680,保管城市的<pic=iron>的設施
#00681,保管城市的<pic=magic>的設施
#00682,保管城市的道具的設施
#00683,保管能量的設施
#00684,保管寶物的設施
#00685,偶爾能夠發現水產品
#00686,能夠得到<pic=grass>的設施
#00687,能夠得到<pic=wood>的設施
#00688,能夠讓酪農家得到<pic=food>的設施
#00689,能夠得到<pic=iron>的設施
#00690,能夠得到<pic=magic>的設施
#00691,採掘能量的設施
#00692,能對周遭發揮效果的設施
#00693,能讓MP和活力更容易回復
#00694,和城市連接，引導觀光客的設施
#00695,修補領地外荒地的基地
#00696,能夠借用馬匹的設施
#00697,能在兩個城市間運送物品的設施
#00698,能夠解析寶物的設施
#00699,回復設施
#00700,研究設施
#00701,使用便能取得經驗值
#00702,能製作簡單料理的設施
#00703,敵人襲擊時能吸引其注意力
#00704,使用時偶爾會得到某些東西
#00705,提升周圍耐久度的設施
#00706,配置於自然環境豐富的地方吧
#00707,領地外的採集據點
#00708,能放置商店用的資材。
#00709,能夠舒適地睡眠。
#00710,能夠設定同居人。
#00711,將物品交給觀光客或夥伴的場所
#00712,陳列面向觀光客或夥伴的商品
#00713,國王偶爾會耍威風。
#00714,會被用來做研究。
#00715,能對回復派上用場。
#00716,製作裝飾品販賣。
#00717,製作食品販賣。
#00718,解析寶物。
#00719,製作家具販賣。
#00720,製作武器販賣。
#00721,製作防具販賣。
#00722,製作技能販賣。
#00723,製作道具販賣。
#00724,偶爾能得到道具。
#00725,偶爾能採掘到礦石。
#00726,偶爾能發現料理。
#00727,能收穫種子。
#00728,能點綴房間。
#00729,能修練提升能力。
#00730,偶爾能發現水。
#00731,偶爾能收穫工具。
#00732,使用能夠得到經驗值。
#00733,能夠採掘到礦石。
#00734,能讓好友暫時停留的設施
#00735,能讓觀光的冒險者停留的設施
#00736,用來迎接孩子的家具
#00737,家主前往討伐時會隨行
#00738,在壽命耗盡時可能會派上用場
#00739,一團亂
#00740,能夠騎龍前往
#00741,能讓前來襲擊的敵人落入陷阱
#00742,會和前來襲擊的敵人格鬥
#00743,能供派遣中的同伴用來回復
#00744,強化裝備的設施
#00745,管理好友的設施
#00746,管理任務的設施
#00747,和好友協作的設施
#00748,購買秘寶的設施
#00749,管理怪物的設施
#00750,頒發獎盃的設施
#00751,用於挑戰每日排行榜的設施
#00752,能夠閱覽試用好友的設施
#00753,出售A級以下的職業的設施
#00754,出售素材的設施
#00755,能夠兌換金幣的設施
#00756,能將夥伴設為師父的設施
#00757,能夠合成怪物的設施
#00758,販賣怪物的設施
#00759,能和開羅君戰鬥的設施
#00760,能和全世界的玩家戰鬥的設施
#00761,曾是一名高傲的國王
#00762,能保管銅幣的設施
#00763,能保管銀幣的設施
#00764,能保管金幣的設施
#00765,珍貴的銅像
#00766,能保管寶物的設施
#00767,能保管道具的設施
#00768,能夠悉心培育城裡孩子們的設施
#00769,放在城外能使夜晚出現敵人
#00770,能夠使前來襲擊的敵人上鉤
#00771,保管蛋的設施
#00772,偶爾會送禮物。
#00773,強敵怪物正潛伏著
#00774,承接城市之間的搬家工作
#00775,能夠交換裝備的場所
#00776,收購各種物品的場所
#00777,或許能藉由約會提升親密度
#00778,填平領地內的海或橋梁
#00779,孕育藝術作品的房間
#00780,作為調查據點的房間
#00781,能夠採集昆蟲的場所
#00782,能讓飛船的客人欣賞的陳列
#00783,能和收銀台交換擺放
#00784,能夠騎乘馴鹿的設施
#00785,載著客人的飛空艇會來訪
#00786,保管收藏品的場所
#00787,或許可以釣魚
#00788,能夠乘坐飛毯的設施
#00789,=#00001
#00790,得到D～A級建築物吧
#00791,<0>月<1>日～<2>日出現<3>
#00792,上級倉庫
#00793,得到D～A級武器吧
#00794,n/a
#00795,獲得D～A級武器 出現開羅系列直到10日為止
#00796,獲得D～A級武器 出現開羅系列直到25日為止
#00797,今日 出現S級杖系武器！
#00798,今日 出現S級棒系武器！
#00799,今日 出現S級矛系武器！
#00800,今日 出現S級槌系武器！
#00801,今日 出現S級劍系武器！
#00802,今日 出現S級槍系武器！
#00803,今日 出現S級弓系武器！
#00804,今日 出現S級斧系武器！
#00805,協助好友以獲得獎勵
#00806,=#00794
#00807,得到很棒的道具吧
#00808,=#00794
#00809,找到C～A級職業吧
#00810,=#00001
#00811,<0>月<1>日～<2>日 出現「<3>」！
#00812,S級 武士
#00813,S級 維京人
#00814,S級 海賊
#00815,S級 勇者
#00816,S級 巫師
#00817,S級 鎮民
#00818,S級 重騎士
#00819,S級 槍手
#00820,S級 弓箭手
#00821,S級 忍者
#00822,S級 僧侶
#00823,S級 衛兵
#00824,S級 騎士
#00825,S級 魔法使
#00827,S級 聖誕老人
#00828,你好。<br>現在開始啟程前往建國之地。<br>請稍後片刻。
#00829,如果感到畫面運作不流暢，<br>請到選單的「設定」中<br>調整各種選項試試看吧。
#00830,刪除遊戲時，<br>數據也將消失，<br>請千萬要注意喔！
#00831,請在網路連線順暢的環境下<br>遊玩本遊戲吧！
#00832,離開遊戲前<br>請記得存檔喔。<br>※偶爾也會自動存檔。
#00833,遊戲主要會<br>儲存在終端內<br>請注意剩餘容量
#00834,設置馬舍後<br>派遣的時候<br>同伴們就會使用喔
#00835,把雲驅散後<br>能提升城市級別
#00836,草資源……<br>只要建造田地<br>就能容易得到
#00837,木材資源……<br>只要建造造林所<br>就能容易得到
#00838,糧食資源……<br>只要讓酪農家成為同伴<br>就能容易得到
#00839,鐵資源……<br>只要在沙漠或岩場挖掘<br>或許就能夠得到
#00840,魔石資源……<br>只要挖掘紅色石頭<br>或許就能夠得到
#00841,如果想要得到能量<br>就建設開採設施吧
#00842,為了收集大量資源<br>也請多建造<br>一些倉庫吧
#00843,滿月的夜晚……<br>敵人或許會打過來也說不定。<br>事先打倒附近的敵人吧！
#00844,收集隱藏在區域裡的<br>有助於王國發展的<br>「祕寶」吧！
#00845,以周圍的雲為目標<br>進行派遣<br>擴展王國領地吧
#00846,如果有冒險者住在旅館<br>在頭目戰時<br>會前來幫忙
#00847,得到的技能<br>就讓能夠裝備的人<br>掌握吧
#00848,能夠購買<br>在城市裡的商店製作的<br>武器和防具喔
#00849,如果閃閃發光的怪物出現了，<br>就派遣主力<br>將它打倒吧！
#00850,在港口和城裡的商店之間<br>架起招牌，<br>吸引客人吧。
#00851,尋找夢幻鍛造屋，<br>請他幫忙強化武器吧。
#00852,如果被找去參加<br>好友討伐等活動的話，<br>就有機會獲得謝禮！
#00853,吸引觀光客來到城裡，<br>在商店消費的話，<br>銅幣就會增加喔。
#00854,別忘了登入<br>開羅帳號，<br>領取獎勵喔。
#00855,如果發現了新的區域，<br>為了能靠近頭目<br>調整派遣位置吧。
#00856,武器<br>在擅長的地區中<br>攻擊擊力會提升喔
#00857,提升武器店<br>和道具店的工坊等級後，<br>或許能開發新的商品。
#00858,如果將人手派遣到頭目處，<br>進入可以討伐的狀態的話，<br>就會有大量敵人從頭目處出現
#00859,開拓到一定程度的話<br>就能夠登錄好友喔！
#00860,熟悉怎麼使用<br>選單「清單」中的<br>全員用道具吧
#00861,如果想要增加倉庫容量，<br>就試著建造許多<br>相同的倉庫吧
#00862,羊先生的教學<br>可以用×按鍵跳過喔
#00863,有種全體用道具<br>可以讓荒地恢復原狀
#00864,掉在太遠的地方的東西<br>是沒有人願意去撿的喔
#00865,如果得到了銅幣，<br>就製作「銅幣箱」吧！
#00866,平民的家
#00867,國王房間
#00868,武器店
#00869,防具店
#00870,道具店
#00871,家具店
#00872,技能店
#00873,旅館
#00874,餐館
#00875,飾品店
#00876,回復之間
#00877,解析之間
#00878,研究所
#00879,醫院
#00880,教會
#00881,宅邸
#00882,怪物屋
#00883,調查隊室
#00884,果園
#00885,聖誕屋
#00886,藝術工坊
#00887,昆蟲館
#00888,水族館
#00889,動物園
#00890,博物館
#00891,鑽石
#00892,=#00001
#00893,草
#00894,木
#00895,糧食
#00896,鐵
#00897,魔石
#00898,能量
#00899,職業貿易券
#00900,裝備貿易券
#00901,設施貿易券
#00902,道具貿易券
#00903,好友貿易券
#00904,銅幣
#00905,銀幣
#00906,金幣
#00907,鑽石 200個
#00908,能夠得到許多鑽石
#00909,dia_200_case0
#00910,鑽石 1000個
#00911,dia_1000_case0
#00912,鑽石 3600個
#00913,dia_3600_case0
#00914,鑽石 8000個
#00915,dia_8000_case0
#00916,開羅樂園
#00917,得到鑽石吧！
#00918,Tapjoy
#00919,分享畫面<br>附帶獎勵
#00920,分享畫面得到鑽石吧！
#00921,分享畫面<br>無獎勵
#00922,分享畫面吧！
#00923,進行<br>評論吧
#00924,來寫遊戲的評論吧！
#00925,能量回復
#00926,城市的能量將回滿
#00927,能量已回滿
#00928,擴散回復藥
#00929,回復所有居民<br>50%的HP
#00930,全員HP回復50％了
#00931,回復藥
#00932,回復一名居民<br>50%的HP
#00933,HP回復50％了
#00934,魔法笛
#00935,所有的居民立刻移動到市政廳<br>※正在討伐的人員不會移動
#00936,已將所有人叫來市政廳了！<br>※一段時間之後就會回去
#00937,小型笛子
#00938,使一名居民立刻移動到市政廳<br>※正在討伐的人員不會移動
#00939,已將居民叫來市政廳了！<br>※一段時間之後就會回去
#00940,神聖藥草
#00941,回復所有居民<br>100%的MP
#00942,MP回復了
#00943,神聖樹葉
#00944,回復一名居民<br>100%的MP
#00945,活力燉菜
#00946,回復所有居民<br>100%的活力
#00947,活力回復了
#00948,活力飯糰
#00949,回復一名居民<br>100%的活力
#00950,魔法秘藥
#00951,所有居民的壽命<br>增加1
#00952,全員的壽命延長了1
#00953,微量秘藥
#00954,一名居民的壽命<br>增加1
#00955,壽命延長了1
#00956,生命蠟燭
#00957,使1名居民壽命無限
#00958,壽命變為無限了！
#00959,覺醒之器
#00960,叫醒所有的居民。<br>※請在晚上使用。
#00961,居民醒來了！<br>今天似乎就這樣不會再入睡。
#00962,王國之源
