@title,中文(简体)
#00170,=MID(#00143,1,-1)&'28'
#00171,=MID(#00143,1,-1)&'29'
#00172,=MID(#00143,1,-1)&'30'
#00173,=MID(#00143,1,-1)&'31'
#00174,=MID(#00143,1,-1)&'32'
#00175,=MID(#00143,1,-1)&'33'
#00176,=MID(#00143,1,-1)&'34'
#00177,=MID(#00143,1,-1)&'35'
#00178,=MID(#00143,1,-1)&'36'
#00179,=MID(#00143,1,-1)&'37'
#00180,=MID(#00143,1,-1)&'38'
#00181,=MID(#00143,1,-1)&'39'
#00182,=MID(#00143,1,-1)&'40'
#00183,=MID(#00143,1,-1)&'41'
#00184,=MID(#00143,1,-1)&'42'
#00185,=MID(#00143,1,-1)&'43'
#00186,=MID(#00143,1,-1)&'44'
#00187,=MID(#00143,1,-1)&'45'
#00188,=MID(#00143,1,-1)&'46'
#00189,=MID(#00143,1,-1)&'47'
#00190,=MID(#00143,1,-1)&'48'
#00191,=MID(#00143,1,-1)&'49'
#00192,=MID(#00143,1,-1)&'50'
#00193,=MID(#00143,1,-1)&'51'
#00194,=MID(#00143,1,-1)&'52'
#00195,=MID(#00143,1,-1)&'53'
#00196,=MID(#00143,1,-1)&'54'
#00197,=MID(#00143,1,-1)&'55'
#00198,=MID(#00143,1,-1)&'56'
#00199,=MID(#00143,1,-1)&'57'
#00200,=MID(#00143,1,-1)&'58'
#00201,=MID(#00143,1,-1)&'59'
#00202,=MID(#00143,1,-1)&'60'
#00203,=MID(#00143,1,-1)&'61'
#00204,=MID(#00143,1,-1)&'62'
#00205,=MID(#00143,1,-1)&'63'
#00206,=MID(#00143,1,-1)&'64'
#00207,=MID(#00143,1,-1)&'65'
#00208,=MID(#00143,1,-1)&'66'
#00209,=MID(#00143,1,-1)&'67'
#00210,=MID(#00143,1,-1)&'68'
#00211,=MID(#00143,1,-1)&'69'
#00212,=MID(#00143,1,-1)&'70'
#00213,=MID(#00143,1,-1)&'71'
#00214,=MID(#00143,1,-1)&'72'
#00215,=MID(#00143,1,-1)&'73'
#00216,=MID(#00143,1,-1)&'74'
#00217,=MID(#00143,1,-1)&'75'
#00218,=MID(#00143,1,-1)&'76'
#00219,=MID(#00143,1,-1)&'77'
#00220,=MID(#00143,1,-1)&'78'
#00221,=MID(#00143,1,-1)&'79'
#00222,=MID(#00143,1,-1)&'80'
#00223,=MID(#00143,1,-1)&'81'
#00224,=MID(#00143,1,-1)&'82'
#00225,=MID(#00143,1,-1)&'83'
#00226,=MID(#00143,1,-1)&'84'
#00227,=MID(#00143,1,-1)&'85'
#00228,=MID(#00143,1,-1)&'86'
#00229,=MID(#00143,1,-1)&'87'
#00230,=MID(#00143,1,-1)&'88'
#00231,=MID(#00143,1,-1)&'89'
#00232,=MID(#00143,1,-1)&'90'
#00233,=MID(#00143,1,-1)&'91'
#00234,=MID(#00143,1,-1)&'92'
#00235,=MID(#00143,1,-1)&'93'
#00236,=MID(#00143,1,-1)&'94'
#00237,=MID(#00143,1,-1)&'95'
#00238,=MID(#00143,1,-1)&'96'
#00239,=MID(#00143,1,-1)&'97'
#00240,=MID(#00143,1,-1)&'98'
#00241,=MID(#00143,1,-1)&'99'
#00242,=MID(#00143,1,-1)&'100'
#00243,居民
#00244,敌人
#00245,丸浜川羊
#00246,客人
#00247,阿南先生
#00248,极猩猩
#00249,森野大熊
#00250,歪罗君
#00251,阿布法拉国王
#00252,农村女孩
#00253,农村男孩
#00254,梦幻锻造铺
#00255,卫兵男孩
#00256,神秘的邻国国王
#00257,神秘的邻国公主
#00258,农民男孩
#00259,镇民女孩
#00260,王国公会会长
#00261,近邻的国王
#00262,奖杯王
#00263,开罗君
#00264,搬家神
#00265,收藏家 年糕猪
#00266,菜粉蝶
#00267,凤蝶
#00268,蜜蜂
#00269,蜻蜓
#00270,螳螂
#00271,蝉
#00272,蚂蚁
#00273,瓢虫
#00274,萤火虫
#00275,吉丁虫
#00276,独角仙
#00277,锹形虫
#00278,蜘蛛
#00279,蜗牛
#00280,竹节虫
#00281,蝎子
#00282,闪蝶
#00283,赫克力士长戟大兜虫
#00284,铃虫
#00285,红颈凤蝶
#00286,青鳉鱼
#00287,金鱼
#00288,鲷鱼
#00289,灯笼鮟鱇
#00290,条石鲷
#00291,小丑鱼
#00292,狮子鱼
#00293,秋刀鱼
#00294,河豚
#00295,比目鱼
#00296,鲤鱼
#00297,鳗鱼
#00298,冰海天使
#00299,虹鳟
#00300,鲑鱼
#00301,章鱼
#00302,孔雀鱼
#00303,神仙鱼
#00304,乌贼
#00305,腔棘鱼
#00306,苹果的画作
#00307,花瓶的画作
#00308,行道树的画作
#00309,某幅方形肖像
#00310,候鸟的画作
#00311,少女的画作
#00312,巨岩的画作
#00313,东洋风景画
#00314,夕阳的画作
#00315,新绿的画作
#00316,天使雕像
#00317,异国的瓷器
#00318,闪亮的香油瓶
#00319,古代的壶
#00320,白色胸像
#00321,人偶
#00322,真实之镜
#00323,难得的雕像
#00324,伟大的面具
#00325,东洋的壶
#00326,白色的蛋
#00327,蓝色的蛋
#00328,绿色的蛋
#00329,红色的蛋
#00330,紫色的蛋
#00331,黑色的蛋
#00332,黄色的蛋
#00333,虹色的蛋
#00334,空手
#00335,无装备
#00336,铁锤
#00337,十字镐
#00338,割草镰刀
#00339,锄头
#00340,火把
#00341,铁锹
#00342,网
#00343,渔网
#00344,钓竿
#00345,斧子
#00346,洒水壶
#00347,耙子
#00348,F/木制手杖
#00349,E/矿石手杖
#00350,D/坚固的手杖
#00351,C/魔力手杖
#00352,B/金刚石手杖
#00353,F/铁制手杖
#00354,E/木杖
#00355,C/尖锐手杖
#00356,B/光辉手杖
#00357,A/光之杖
#00358,E/蓝色手杖
#00359,D/叹息之杖
#00360,C/闪电之杖
#00361,B/雷击之杖
#00362,A/冰之杖
#00363,E/红色手杖
#00364,D/国王手杖
#00365,C/先王手杖
#00366,A/传说之杖
#00367,S/梦幻之杖
#00368,F/木棒
#00369,E/坚固的棒子
#00370,D/橡木棒
#00371,C/古木棒
#00372,B/勇者之棒
#00373,E/弯曲的棒子
#00374,D/饭杓
#00375,C/棒子
#00376,B/铁棒
#00377,A/红色棒子
#00378,D/锤矛
#00379,C/球棒
#00380,B/钉头锤
#00381,A/钢铁棒
#00382,S/黄金棒
#00383,F/祈祷之棒
#00384,D/神圣之棒
#00385,C/光之棒
#00386,A/天使之棒
#00387,S/众神之棒
#00388,F/棍棒
#00389,E/粗壮的棒子
#00390,D/狼牙棒
#00391,C/艺术棒
#00392,A/祖母绿之棒
#00393,F/树枝
#00394,E/尖刺树枝
#00395,D/尖锐棒子
#00396,C/民艺之棒
#00397,B/树枝剑
#00398,F/木矛
#00399,E/铁矛
#00400,D/名匠之矛
#00401,B/三叉戟
#00402,A/传说之矛
#00403,E/渔夫的鱼叉
#00404,C/铁制鱼叉
#00405,B/红色的矛
#00406,A/钢铁矛
#00407,S/炎之矛
#00408,E/铜矛
#00409,C/骑士枪
#00410,B/名将之矛
#00411,A/黄金之矛
#00412,S/漆黑长矛
#00413,F/小锤
#00414,E/大锤
#00415,C/铁锤
#00416,B/巨大战锤
#00417,S/炎之锤
#00418,E/锤
#00419,D/长柄锤
#00420,B/白银之锤
#00421,A/名匠之锤
#00422,S/黄金之锤
#00423,E/剑
#00424,D/钢之剑
#00425,C/名匠之剑
#00426,B/名将之剑
#00427,A/豪杰之剑
#00428,F/水果刀
#00429,E/菜刀
#00430,D/白银菜刀
#00431,B/名匠菜刀
#00432,A/黄金菜刀
#00433,F/小刀
#00434,E/手术刀
#00435,C/白银手术刀
#00436,B/闪电手术刀
#00437,A/冰之小刀
#00438,E/海盗剑
#00439,D/弯刀
#00440,C/疾风之剑
#00441,A/水滴之剑
#00442,S/火之剑
#00443,E/士兵剑
#00444,D/长剑
#00445,C/银剑
#00446,B/破坏之剑
#00447,A/古剑
#00448,E/冰之小刀
#00449,D/冰之剑
#00450,C/冰之大剑
#00451,B/暴雪长剑
#00452,S/吹雪之剑
#00453,E/苦无
#00454,D/手里剑
#00455,C/大手里剑
#00456,B/火炎手里剑
#00457,A/吉咖手里剑
#00458,F/刀
#00459,E/武士长剑
#00460,C/武将之刀
#00461,B/名匠之刀
#00462,A/传说之刀
#00463,F/铜剑
#00464,E/青铜剑
#00465,C/钢铁剑
#00466,B/轻量剑
#00467,A/荣誉之剑
#00468,E/较长的剑
#00469,D/变种剑
#00470,C/圣者之剑
#00471,A/愤怒之剑
#00472,S/传说之剑
#00473,D/黑色长剑
#00474,C/暗黑剑
#00475,B/漆黑之剑
#00476,A/王之剑
#00477,S/霸王之剑
#00478,D/普通长剑
#00479,C/勇气之剑
#00480,B/勇者之剑
#00481,A/不灭之剑
#00482,S/世界树之剑
#00483,F/小说书
#00484,D/研究书
#00485,E/放大镜
#00486,C/古籍
#00487,B/画笔
#00488,D/步枪
#00489,C/火绳枪
#00490,B/滑膛枪
#00491,A/强力枪
#00492,S/黄金之枪
#00493,D/弓
#00494,C/步兵之弓
#00495,B/猎人之弓
#00496,A/高速之弓
#00497,S/强者之弓
#00498,F/手斧
#00499,D/樵夫斧
#00500,C/钢铁之斧
#00501,B/战斧
#00502,S/传说之斧
#00503,A/开罗长剑
#00504,A/开罗锤
#00505,A/开罗矛
#00506,A/开罗弓
#00507,A/开罗火枪
#00508,F/木盾
#00509,F/皮盾
#00510,E/士兵盾
#00511,E/圆盾
#00512,D/铁盾
#00513,C/高贵之盾
#00514,A/勇者之盾
#00515,A/水晶护盾
#00516,B/甲壳之盾
#00517,S/歪罗护盾
#00518,B/科学之盾
#00519,A/圣盾
#00520,D/民艺之盾
#00521,D/坚固的盾牌
#00522,C/噩梦之盾
#00523,B/传统盾牌
#00524,B/碧绿之盾
#00525,S/反射护盾
#00526,A/黄金护盾
#00527,S/光辉之盾
#00528,C/魔王之盾
#00529,B/传说之盾
#00530,C/霸王之盾
#00531,S/开罗护盾
#00532,F/围裙
#00533,F/布衣
#00534,F/衣服
#00535,E/黄色服装
#00536,E/牢固的服装
#00537,D/流行服装
#00538,D/厚实的服装
#00539,D/锁子甲
#00540,C/短裙
#00541,B/连衣裙
#00542,D/睡衣
#00543,C/毛皮大衣
#00544,C/大衣
#00545,C/长袍
#00546,B/优质长袍
#00547,C/家纹袴
#00548,D/披风
#00549,C/牢固披风
#00550,B/紫色披风
#00551,A/国王披风
#00552,E/皮制胸甲
#00553,D/铁制胸甲
#00554,C/皮铠
#00555,C/轻铠
#00556,B/铜制铠甲
#00557,B/白银铠甲
#00558,A/绿之铠甲
#00559,A/沉重铠甲
#00560,S/黄金铠甲
#00561,S/黑色铠甲
#00562,F/头巾
#00563,F/头箍
#00564,F/发带
#00565,F/缠头巾
#00566,E/帽子
#00567,E/头盔
#00568,D/头巾
#00569,D/头带
#00570,D/护额
#00571,F/厨师帽
#00572,F/高筒礼帽
#00573,F/帽子
#00574,F/圣帽
#00575,E/天使光环
#00576,E/海盗帽
#00577,E/提督帽
#00578,D/羽毛头巾
#00579,D/羽毛帽
#00580,D/羽毛头盔
#00581,D/魔法帽
#00582,C/魔法师帽
#00583,B/魔道帽
#00584,A/传说中的帽子
#00585,B/魔力帽
#00586,C/锁链帽
#00587,B/洗发帽
#00588,A/开罗帽
#00589,S/王冠
#00590,A/头冠
#00591,D/看守帽
#00592,C/卫兵帽
#00593,C/铜头盔
#00594,C/头盔
#00595,B/铁假面
#00596,B/铁头盔
#00597,A/黑色头盔
#00598,S/黄金头盔
#00599,A/龙之头盔
#00600,A/机器人头盔
#00601,E/颈饰
#00602,D/项链
#00603,C/护身符
#00604,B/蓝色项链
#00605,A/红色项链
#00606,S/黄金项链
#00607,C/魔力项链
#00608,B/黄金手链
#00609,D/皮革腕带
#00610,C/腕套
#00611,S/金牌
#00612,D/丝巾
#00613,B/项圈
#00614,A/黄金项圈
#00615,D/戒指
#00616,C/珍珠戒指
#00617,B/银戒指
#00618,A/光玉戒指
#00619,S/黄金戒指
#00620,C/手套
#00621,B/皮革手套
#00622,A/丝质手套
#00623,B/银耳环
#00624,A/黄金耳环
#00625,S/王室耳环
#00626,E/皮鞋
#00627,F/木鞋
#00628,D/甲板鞋
#00629,A/银靴
#00630,B/长靴
#00631,S/羽毛长靴
#00632,C/蜡烛
#00633,B/符咒
#00634,A/黄金铃铛
#00635,B/红色缎带
#00636,A/缎带
#00637,C/木雕像
#00638,C/布袋
#00639,B/黄金袋
#00640,S/开罗姬手办
#00641,S/圣诞老人手杖
#00642,S/圣诞老人护盾
#00643,=#00001
#00644,发现
#00645,获得<1>个<br>“<0>”！
#00646,获得
#00647,获得<br>钻石　<0>！
#00648,获得<1>个<br><0>！
#00649,<0>中<br>增加了新的伙伴！
#00650,第<0>位<1><br><2>
#00651,活动信息
#00652,未能刷新纪录……
#00653,使用
#00654,使用了<br><1>个道具“<0>”
#00655,活动
#00656,能量竟然<br>回满了！
#00657,发生奇迹，<br>城市的占地稍稍扩大了！
#00658,获得<1>个<br>技能 <0>！
#00659,发现区域
#00660,发现了<br>未开拓的<br>新区域！！
#00661,追加职业
#00662,得到了D级镇民<br>和研究家的介绍！
#00663,提升移动速度。
#00664,搭桥。
#00665,迎接游客。
#00666,狭小的土地。
#00667,普通的土地。
#00668,宽广的土地。
#00669,超级宽广的土地。
#00670,能成为城市中心的设施。
#00671,能稍微抵挡敌人的入侵。
#00672,较能抵挡敌人的入侵。
#00673,能抵挡敌人的入侵。
#00674,能有效抵挡敌人的入侵。
#00675,可以进出护壁。
#00676,可以使领土稍微扩大的设施
#00677,保管城市<pic=grass>的设施
#00678,保管城市<pic=food>的设施
#00679,保管城市<pic=wood>的设施
#00680,保管城市<pic=iron>的设施
#00681,保管城市<pic=magic>的设施
#00682,保管城市道具的设施
#00683,保管能量的设施
#00684,保管宝物的设施
#00685,偶尔能够发现水产品
#00686,生产<pic=grass>的设施
#00687,生产<pic=wood>的设施
#00688,奶农获得<pic=food>的设施
#00689,生产<pic=iron>的设施
#00690,生产<pic=magic>的设施
#00691,开采能量的设施
#00692,对周围发挥效果的设施
#00693,有助于回复魔力和活力
#00694,连接城市，引导游客的设施
#00695,修补领土外荒地的基地
#00696,出租马匹的设施
#00697,在两个城市间搬运货物的设施
#00698,能解析宝物的设施
#00699,回复设施
#00700,研究设施
#00701,使用后能获得经验值
#00702,可以制作简单料理的设施
#00703,在敌人袭击时可以诱敌
#00704,使用时偶尔能获得物品
#00705,提升周围耐久度的设施
#00706,摆放在自然资源丰富的地方吧
#00707,领土外的采集基地
#00708,可以放置商店所需资材。
#00709,可以提供舒适的睡眠。
#00710,可以设置同居者。
#00711,向游客或伙伴递交物品的地方
#00712,陈列面向游客或伙伴的商品
#00713,国王偶尔会耍威风。
#00714,会被用于研究。
#00715,可以帮助回复。
#00716,制作、销售饰品。
#00717,制作、销售食物。
#00718,解析宝物。
#00719,制作、销售家具。
#00720,制作、销售武器。
#00721,制作、销售防具。
#00722,制作、销售技能。
#00723,制作、销售道具。
#00724,偶尔能获得道具。
#00725,偶尔能采收矿石。
#00726,偶尔能发现料理。
#00727,可以收获种子。
#00728,可以装饰房间。
#00729,通过修炼提升能力。
#00730,偶尔能发现水。
#00731,可以收获工具。
#00732,使用后能获得经验值。
#00733,可以采收矿石。
#00734,供好友短时间留宿的设施
#00735,供观光的冒险者留宿的设施
#00736,用来迎接孩子的家具
#00737,在家主前往讨伐时会随行
#00738,在寿命耗尽时或许能派上用场
#00739,一团乱
#00740,可以骑龙前往
#00741,会让前来袭击的敌人落入陷阱
#00742,会与前来袭击的敌人格斗
#00743,派遣中的伙伴会使用此设施来回复
#00744,强化装备的设施
#00745,管理好友的设施
#00746,管理任务的设施
#00747,与好友协作的设施
#00748,购买秘宝的设施
#00749,管理怪物的设施
#00750,颁发奖杯的设施
#00751,用于挑战每日排行的设施
#00752,可以查看试用好友的设施
#00753,出售A级以下职业的设施
#00754,出售素材的设施
#00755,可以兑换金币的设施
#00756,可以向伙伴拜师的设施
#00757,可以合成怪物的设施
#00758,出售怪物的设施
#00759,可以与开罗君交战的设施
#00760,可以与全球玩家交战的设施
#00761,曾是一名高傲的国王
#00762,保管铜币的设施
#00763,保管银币的设施
#00764,保管金币的设施
#00765,难得的铜像
#00766,保管宝物的设施
#00767,保管道具的设施
#00768,能够悉心培养城中儿童的设施
#00769,放在城外能使夜晚出现敌人
#00770,可以使前来袭击的敌人上钩
#00771,保管蛋的设施
#00772,偶尔会赠送礼物。
#00773,潜伏着强大的怪物
#00774,提供城市间搬迁的服务
#00775,可以兑换装备的地方
#00776,回收各类物品的地方
#00777,约会也许能提升亲密度
#00778,填埋领土内的海或桥
#00779,创造艺术作品的屋子
#00780,当作调查基地使用的屋子
#00781,可以采集昆虫的地方
#00782,供飞空船上客人欣赏的陈列
#00783,可以和收银机交换位置摆放
#00784,可以骑驯鹿的设施
#00785,载有客人的飞艇会来造访
#00786,保管收藏品的地方
#00787,或许能钓鱼
#00788,可以乘坐飞毯的设施
#00789,=#00001
#00790,获得D～A级的建筑吧
#00791,<0>月<1>日～<2>日出现<3>
#00792,高级仓库
#00793,获得D～A级的武器吧
#00794,n/a
#00795,获得D～A级武器 出现开罗系列至10日
#00796,获得D～A级武器 出现开罗系列至25日
#00797,今日 出现S级杖系武器！
#00798,今日 出现S级棒系武器！
#00799,今日 出现S级矛系武器！
#00800,今日 出现S级锤系武器！
#00801,今日 出现S级剑系武器！
#00802,今日 出现S级枪系武器！
#00803,今日 出现S级弓系武器！
#00804,今日 出现S级斧系武器！
#00805,帮助好友，获得奖励
#00806,=#00794
#00807,获得很棒的道具吧
#00808,=#00794
#00809,找到C～A级的职业吧
#00810,=#00001
#00811,<0>月<1>日～<2>日 出现“<3>”！
#00812,S级 武士
#00813,S级 维京人
#00814,S级 海盗
#00815,S级 勇者
#00816,S级 巫师
#00817,S级 镇民
#00818,S级 重骑士
#00819,S级 枪手
#00820,S级 弓箭手
#00821,S级 忍者
#00822,S级 僧侣
#00823,S级 卫兵
#00824,S级 骑士
#00825,S级 魔法师
#00827,S级 圣诞老人
#00828,你好。<br>即将移动到建国的土地，<br>请稍等。
#00829,感觉画面不流畅时，<br>请在菜单中<br>尝试更改各种“设置”哦。
#00830,卸载游戏时，<br>数据也将一起消失，<br>请注意哦！
#00831,请在网络环境良好的地方<br>进行游戏哦！
#00832,退出游戏前，<br>记得要保存哦。<br>※偶尔也会自动保存。
#00833,游戏基本上<br>会被保存在终端设备中<br>请留意可用空间哦
#00834,建造马棚后<br>伙伴会在派遣时<br>使用哦
#00835,扫除阴云<br>能让城市的级别提升哦
#00836,草资源……<br>在建造农田后<br>就能容易获得哦
#00837,木材资源……<br>在建造造林所后<br>就能容易获得哦
#00838,粮食资源……<br>让奶农成为伙伴后<br>就能容易获得哦
#00839,铁资源……<br>挖掘沙漠或岩场时<br>也许会出现
#00840,魔石资源……<br>挖掘红色石头时<br>也许会出现
#00841,想要得到能量的话<br>就建造开采设施吧
#00842,为了收集大量的资源<br>请多多建造<br>仓库吧
#00843,满月之夜……<br>或许会有敌人袭击。<br>建议事先打倒附近的敌人！
#00844,收集隐藏在区域中<br>有助于王国发展的<br>“秘宝”吧！
#00845,将人手派遣到<br>周围的阴云处，<br>扩大王国的领土吧
#00846,有冒险者在旅馆留宿时，<br>会在首领战<br>前来帮忙
#00847,让能够装备的人<br>掌握获得的<br>技能吧
#00848,可以购买<br>城中商店制作的<br>武器和防具哦
#00849,如果出现了亮闪闪的怪物，<br>就派遣主力人员<br>将它打倒吧！
#00850,在港口以及城里的商店之间<br>布置招牌，<br>招揽顾客吧。
#00851,寻找梦幻锻造铺，<br>让他帮忙强化武器吧。
#00852,得到好友邀请<br>前往讨伐后，<br>或许能得到谢礼！
#00853,往城里招揽游客，<br>让他们光顾商店后，<br>铜币就会增加哦。
#00854,别忘了登入<br>开罗账号，<br>获得奖励哦。
#00855,发现新区域后，<br>就调整派遣位置，<br>让大家慢慢靠近首领吧。
#00856,武器<br>在各自擅长的地区中<br>攻击力会提升哦
#00857,提升武器店或防具店的<br>工坊等级后，<br>或许能发现新的商品。
#00858,将人手派遣到首领处，<br>进入可以讨伐的状态后，<br>首领会派出敌人哦。
#00859,开拓到一定程度后<br>就可以添加好友了哦！
#00860,别忘记在菜单的“列表”中<br>灵活运用<br>全体型道具哦
#00861,想要增加仓库容量的话，<br>就多多建造<br>相同的仓库吧
#00862,可以点击×键<br>来跳过羊先生的新手教程哦
#00863,有种全体型道具<br>可以把荒地复原哦
#00864,没人愿意去捡<br>十分遥远的掉落物哦
#00865,获得铜币后，<br>就制作“铜币箱”吧！
#00866,平民的家
#00867,国王房间
#00868,武器店
#00869,防具店
#00870,道具店
#00871,家具店
#00872,技能店
#00873,旅馆
#00874,饭馆
#00875,饰品店
#00876,回复所
#00877,解析所
#00878,研究所
#00879,医院
#00880,教堂
#00881,宅邸
#00882,怪物之家
#00883,调查队室
#00884,果树园
#00885,圣诞小屋
#00886,艺术工坊
#00887,昆虫馆
#00888,水族馆
#00889,动物园
#00890,博物馆
#00891,钻石
#00892,=#00001
#00893,草
#00894,木
#00895,粮食
#00896,铁
#00897,魔石
#00898,能量
#00899,职业贸易券
#00900,装备贸易券
#00901,设施贸易券
#00902,道具贸易券
#00903,好友贸易券
#00904,铜币
#00905,银币
#00906,金币
#00907,钻石 200个
#00908,可以获得大量钻石。
#00909,dia_200_case0
#00910,钻石 1000个
#00911,dia_1000_case0
#00912,钻石 3600个
#00913,dia_3600_case0
#00914,钻石 8000个
#00915,dia_8000_case0
#00916,开罗乐园
#00917,来获得钻石吧！
#00918,泰普悦
#00919,分享画面<br>附赠奖励
#00920,分享画面，获得钻石吧！
#00921,分享画面<br>无奖励
#00922,分享画面吧！
#00923,进行<br>评论吧
#00924,来写游戏的评论吧！
#00925,回复能量
#00926,将回满城市的能量
#00927,能量已回满
#00928,扩散回复药
#00929,使所有居民的生命<br>回复50%
#00930,全员的生命已回复50%
#00931,回复药
#00932,使1名居民的生命<br>回复50%
#00933,生命已回复50%
#00934,魔法笛
#00935,使所有居民立即移动到市政厅<br>※无法移动正在讨伐的人员
#00936,已将全员召唤至市政厅！<br>※大家不久便会返回
#00937,小型笛子
#00938,将1名居民立即移动到市政厅<br>※无法移动正在讨伐的人员
#00939,已将居民召唤至市政厅！<br>※该人员不久便会返回
#00940,神圣药草
#00941,使所有居民的魔力<br>回复100%
#00942,魔力已回复
#00943,神圣树叶
#00944,使1名居民的魔力<br>回复100%
#00945,活力炖菜
#00946,使所有居民的活力<br>回复100%
#00947,活力已回复
#00948,活力饭团
#00949,使1名居民的活力<br>回复100%
#00950,魔法秘药
#00951,使所有居民的寿命<br>增加1
#00952,全员的寿命已增加1
#00953,微量秘药
#00954,使1名居民的寿命<br>增加1
#00955,寿命已增加1
#00956,生命蜡烛
#00957,使1名居民获得无限寿命
#00958,已获得无限寿命！
#00959,唤醒器具
#00960,叫醒所有居民。<br>※请在夜晚使用。
#00961,居民醒了！<br>今天似乎不会再入睡。
#00962,王国源泉
#00963,向全员赠送全种经验值
#00964,<po=m>全员的所有种类经验值<br>已增加 <0>
#00965,开罗布丁
#00966,歪罗布丁
#00967,开罗芭菲蛋糕
#00968,歪罗芭菲蛋糕
#00969,生命源泉
#00970,向全员赠送生命经验值
#00971,全员的生命经验值<br>已增加 <0>
#00972,魔力源泉
#00973,向全员赠送魔力经验值
#00974,全员的魔力经验值<br>已增加 <0>
#00975,活力源泉
#00976,向全员赠送活力经验值
#00977,全员的活力经验值<br>已增加 <0>
#00978,力量源泉
#00979,向全员赠送攻击经验值
#00980,全员的攻击经验值<br>已增加 <0>
#00981,防御源泉
#00982,向全员赠送防御经验值
#00983,全员的防御经验值<br>已增加 <0>
#00984,速度源泉
#00985,向全员赠送速度经验值
