id,,res,img,imgU,imgV,maxEarnableRewardCount,rewardType,rewardTreasureId,minCost,maxCost,minHearts,maxHearts,minSuccessRate,maxSuccessRate,jobGroupId,minAdditionTimeSeconds,maxAdditionTimeSeconds,coolDownTimeSeconds,terrain,minAreaLevel,costToEarnRewardUsingDia,nameText,nameArg,flag
48,未使用,5,136,1,1,-1,0,781,-1,-1,113,1356,25,95,4,2700,10800,14400,3,40,3,Survey: Medicine (<0>),Medium,1
49,未使用,5,136,1,1,-1,0,782,-1,-1,193,2316,25,95,4,2700,10800,14400,6,75,3,Survey: Medicine (<0>),Hard,1
50,未使用,5,136,1,1,-1,0,783,-1,-1,508,6096,25,95,4,2700,10800,14400,5,120,3,Survey: Medicine (<0>),Extreme,1
51,未使用,5,136,1,1,-1,0,784,-1,-1,73,876,25,95,2,1800,10800,14400,1,1,3,Survey: Vegetables (<0>),Easy,1
52,未使用,5,136,1,1,-1,0,785,-1,-1,148,1776,25,95,2,1800,10800,14400,7,40,3,Survey: Vegetables (<0>),Medium,1
53,未使用,5,136,1,1,-1,0,786,-1,-1,262,3144,25,95,2,1800,10800,14400,4,75,3,Survey: Vegetables (<0>),Hard,1
54,未使用,5,136,1,1,-1,0,787,-1,-1,396,4752,25,95,2,1800,10800,14400,6,120,3,Survey: Vegetables (<0>),Extreme,1
55,未使用,5,136,1,1,-1,0,788,-1,-1,85,1020,25,95,12,1800,10800,14400,0,1,3,Survey: Seafood (<0>),Easy,1
56,未使用,5,136,1,1,-1,0,789,-1,-1,147,1764,25,95,12,1800,10800,14400,0,40,3,Survey: Seafood (<0>),Medium,1
57,未使用,5,136,1,1,-1,0,790,-1,-1,269,3228,25,95,12,1800,10800,14400,0,75,3,Survey: Seafood (<0>),Hard,1
58,未使用,5,136,1,1,-1,0,791,-1,-1,409,4908,25,95,12,1800,10800,14400,0,120,3,Survey: Seafood (<0>),Extreme,1
59,未使用,5,136,1,1,-1,0,792,-1,-1,94,1128,25,95,3,3000,10800,14400,3,1,3,Survey: Tools (<0>),Easy,1
60,未使用,5,136,1,1,-1,0,793,-1,-1,145,1740,25,95,3,3000,10800,14400,4,40,3,Survey: Tools (<0>),Medium,1
61,未使用,5,136,1,1,-1,0,794,-1,-1,291,3492,25,95,3,3000,10800,14400,1,75,3,Survey: Tools (<0>),Hard,1
62,未使用,5,136,1,1,-1,0,795,-1,-1,526,6312,25,95,3,3000,10800,14400,6,120,3,Survey: Tools (<0>),Extreme,1
63,未使用,5,136,1,1,-1,0,796,-1,-1,123,1476,15,95,2,3600,10800,14400,1,25,5,Survey: Equipment Materials (<0>),Easy,1
64,未使用,5,136,1,1,-1,0,797,-1,-1,309,3708,15,95,2,3600,10800,14400,15,65,5,Survey: Equipment Materials (<0>),Medium,1
65,未使用,5,136,1,1,-1,0,798,-1,-1,561,6732,15,95,2,3600,10800,14400,7,115,5,Survey: Equipment Materials (<0>),Hard,1
66,未使用,5,136,1,1,-1,0,799,-1,-1,91,1092,10,95,4,1800,10800,14400,3,30,3,Survey: Copper Coins (<0>),Easy,1
67,未使用,5,136,1,1,-1,0,800,-1,-1,648,7776,10,95,4,1800,10800,14400,4,95,3,Survey: Copper Coins (<0>),Hard,1
68,未使用,5,136,0,3,-1,0,801,0,15,226,2712,15,95,1,3600,18000,43200,2,15,10,Survey: Kairo Series (<0>),Ⅰ,1
69,未使用,5,136,0,3,-1,0,802,0,15,299,3588,15,95,2,3600,18000,43200,3,40,10,Survey: Kairo Series (<0>),Ⅱ,1
70,未使用,5,136,0,3,-1,0,803,0,15,336,4032,15,95,3,3600,18000,43200,7,70,10,Survey: Kairo Series (<0>),Ⅲ,1
71,未使用,5,136,0,3,-1,0,804,0,15,336,4032,15,95,4,3600,18000,43200,6,100,10,Survey: Kairo Series (<0>),Ⅳ,1
72,未使用,5,136,0,3,-1,0,805,0,15,399,4788,15,95,12,3600,18000,43200,5,140,10,Survey: Kairo Series (<0>),Ⅴ,1
73,Not used,5,136,2,3,-1,1,766,10,165,172,2064,5,70,1,3600,14400,43200,15,75,15,Survey: Unused,未使用,0
74,Not used,5,136,2,3,-1,1,766,10,165,235,2820,5,70,1,3600,14400,43200,1,125,15,Survey: Unused,未使用,0
75,Not used,5,136,2,3,-1,1,766,10,165,400,4800,5,70,1,3600,14400,43200,6,180,15,Survey: Unused,未使用,0
76,Not used,5,136,6,2,2,0,806,0,8,75,825,10,80,-1,3600,14400,28800,1,120,15,Survey: Cash Register,未使用,1
77,Not used,5,136,6,2,3,0,806,1,24,240,990,10,85,-1,3600,14400,28800,2,30,15,Survey: Cash Register,未使用,1
78,Not used,5,136,6,2,4,0,806,2,48,450,1200,10,90,-1,3600,14400,28800,5,200,15,Survey: Cash Register,未使用,1
79,Not used,5,136,6,2,1,0,807,4,20,350,1100,1,70,-1,3600,14400,28800,3,80,50,Survey: Dragon Taming,未使用,1
80,Not used,5,136,6,2,1,0,807,5,24,425,1175,1,70,-1,3600,14400,28800,6,70,50,Survey: Dragon Taming,未使用,1
81,Not used,5,136,6,2,2,0,807,6,56,500,1250,1,70,-1,3600,14400,28800,5,500,50,Survey: Dragon Taming,未使用,1
82,未使用,5,136,0,3,5,0,808,0,20,165,915,5,75,1,3600,18000,43200,2,5,10,Survey: Skill Manuals,Ⅰ,1
83,未使用,5,136,0,3,5,0,809,0,20,175,925,5,75,2,3600,18000,43200,1,5,10,Survey: Skill Manuals,Ⅱ,1
84,未使用,5,136,0,3,5,0,810,0,20,145,895,5,75,3,3600,18000,43200,3,5,10,Survey: Skill Manuals,Ⅲ,1
85,未使用,5,136,0,3,5,0,811,0,20,145,895,5,75,4,3600,18000,43200,4,5,10,Survey: Skill Manuals,Ⅳ,1
86,未使用,5,136,0,3,5,0,812,0,20,160,910,5,75,12,3600,18000,43200,6,5,10,Survey: Skill Manuals,Ⅴ,1
87,未使用,5,136,0,3,5,0,813,0,20,180,930,5,75,1,3600,18000,43200,15,5,10,Survey: Skill Manuals,Ⅵ,1
88,未使用,5,136,0,3,5,0,814,0,20,155,905,5,75,4,3600,18000,43200,7,5,10,Survey: Skill Manuals,Ⅶ,1
89,Not used,5,136,1,1,5,0,815,0,20,65,815,15,95,1,3600,18000,43200,2,1,10,Survey: Master Instructor,未使用,1
90,Not used,5,136,1,1,5,0,815,0,20,45,795,15,95,2,3600,18000,43200,1,5,10,Survey: Master Instructor,未使用,1
91,Not used,5,136,1,1,5,0,815,0,20,80,830,15,95,3,3600,18000,43200,3,15,10,Survey: Master Instructor,未使用,1
92,Not used,5,136,1,1,5,0,815,0,20,95,845,15,95,4,3600,18000,43200,4,20,10,Survey: Master Instructor,未使用,1
93,Not used,5,136,1,1,5,0,815,0,20,100,850,15,95,12,3600,18000,43200,6,50,10,Survey: Master Instructor,未使用,1
94,Not used,5,136,1,1,-1,0,815,0,15,88,1056,15,95,1,3600,18000,43200,7,80,10,Survey: Master Instructor,未使用,1
95,Not used,5,136,1,1,-1,0,815,0,15,220,2640,15,95,4,3600,18000,43200,5,200,10,Survey: Master Instructor,未使用,1
96,未使用,5,136,1,1,-1,0,772,-1,-1,235,2820,40,95,3,3000,10800,21600,6,100,3,Survey: Materials XL (<0>),<pic=wood>,1
97,未使用,5,136,1,1,-1,0,773,-1,-1,255,3060,40,95,4,3000,10800,21600,7,100,3,Survey: Materials XL (<0>),<pic=food>,1
98,未使用,5,136,1,1,-1,0,774,-1,-1,275,3300,40,95,3,3000,10800,21600,1,100,3,Survey: Materials XL (<0>),<pic=iron>,1
99,未使用,5,136,1,1,-1,0,775,-1,-1,300,3600,40,95,1,3000,10800,21600,4,100,3,Survey: Materials XL (<0>),<pic=magic>,1
