id,,exp,hatchTimeSeconds
519,519,80330,264600
520,520,80615,264600
521,521,80900,264600
522,522,81186,264600
523,523,81472,264600
524,524,81759,264600
525,525,82046,264600
526,526,82334,264600
527,527,82622,264600
528,528,82911,264600
529,529,83200,264600
530,530,83490,264600
531,531,83780,264600
532,532,84071,264600
533,533,84362,264600
534,534,84654,264600
535,535,84946,264600
536,536,85239,264600
537,537,85532,264600
538,538,85826,264600
539,539,86120,264600
540,540,86415,264600
541,541,86710,264600
542,542,87006,264600
543,543,87302,264600
544,544,87599,264600
545,545,87896,264600
546,546,88194,264600
547,547,88492,264600
548,548,88791,264600
549,549,89090,264600
550,550,89390,264600
551,551,89690,264600
552,552,89991,264600
553,553,90292,264600
554,554,90594,264600
555,555,90896,264600
556,556,91199,264600
557,557,91502,264600
558,558,91806,264600
559,559,92110,264600
560,560,92415,264600
561,561,92720,264600
562,562,93026,264600
563,563,93332,264600
564,564,93639,264600
565,565,93946,264600
566,566,94254,264600
567,567,94562,264600
568,568,94871,264600
569,569,95180,264600
570,570,95490,264600
571,571,95800,264600
572,572,96111,264600
573,573,96422,264600
574,574,96734,264600
575,575,97046,264600
576,576,97359,264600
577,577,97672,264600
578,578,97986,264600
579,579,98300,264600
580,580,98615,264600
581,581,98930,264600
582,582,99246,264600
583,583,99562,264600
584,584,99879,264600
585,585,100196,264600
586,586,100514,264600
587,587,100832,264600
588,588,101151,264600
589,589,101470,264600
590,590,101790,264600
591,591,102110,264600
592,592,102431,264600
593,593,102752,264600
594,594,103074,264600
595,595,103396,264600
596,596,103719,264600
597,597,104042,264600
598,598,104366,264600
599,599,104690,264600
600,600,105015,264600
601,601,105340,264600
602,602,105666,264600
603,603,105992,264600
604,604,106319,264600
605,605,106646,264600
606,606,106974,264600
607,607,107302,264600
608,608,107631,264600
609,609,107960,264600
610,610,108290,264600
611,611,108620,264600
612,612,108951,264600
613,613,109282,264600
614,614,109614,264600
615,615,109946,264600
616,616,110279,264600
617,617,110612,264600
618,618,110946,264600
619,619,111280,264600
620,620,111615,264600
621,621,111950,264600
622,622,112286,264600
623,623,112622,264600
624,624,112959,264600
625,625,113296,264600
626,626,113634,264600
627,627,113972,264600
628,628,114311,264600
629,629,114650,264600
630,630,114990,264600
631,631,115330,264600
632,632,115671,264600
633,633,116012,264600
634,634,116354,264600
635,635,116696,264600
636,636,117039,264600
637,637,117382,264600
638,638,117726,264600
639,639,118070,264600
640,640,118415,264600
641,641,118760,264600
642,642,119106,264600
643,643,119452,264600
644,644,119799,264600
645,645,120146,264600
646,646,120494,264600
647,647,120842,264600
648,648,121191,264600
649,649,121540,264600
650,650,121890,264600
651,651,122240,264600
652,652,122591,264600
653,653,122942,264600
654,654,123294,264600
655,655,123646,264600
656,656,123999,264600
657,657,124352,264600
658,658,124706,264600
659,659,125060,264600
660,660,125415,264600
661,661,125770,264600
662,662,126126,264600
663,663,126482,264600
664,664,126839,264600
665,665,127196,264600
666,666,127554,264600
667,667,127912,264600
668,668,128271,264600
669,669,128630,264600
670,670,128990,264600
671,671,129350,264600
672,672,129711,264600
673,673,130072,264600
674,674,130434,264600
675,675,130796,264600
676,676,131159,264600
677,677,131522,264600
678,678,131886,264600
679,679,132250,264600
680,680,132615,264600
681,681,132980,264600
682,682,133346,264600
683,683,133712,264600
684,684,134079,264600
685,685,134446,264600
686,686,134814,264600
687,687,135182,264600
688,688,135551,264600
689,689,135920,264600
690,690,136290,264600
691,691,136660,264600
692,692,137031,264600
693,693,137402,264600
694,694,137774,264600
695,695,138146,264600
696,696,138519,264600
697,697,138892,264600
698,698,139266,264600
699,699,139640,264600
700,700,140015,264600
701,701,140390,264600
702,702,140766,264600
703,703,141142,264600
704,704,141519,264600
705,705,141896,264600
706,706,142274,264600
707,707,142652,264600
708,708,143031,264600
709,709,143410,264600
710,710,143790,264600
711,711,144170,264600
712,712,144551,264600
713,713,144932,264600
714,714,145314,264600
715,715,145696,264600
716,716,146079,264600
717,717,146462,264600
718,718,146846,264600
719,719,147230,264600
720,720,147615,264600
721,721,148000,264600
722,722,148386,264600
723,723,148772,264600
724,724,149159,264600
725,725,149546,264600
726,726,149934,264600
727,727,150322,264600
728,728,150711,264600
729,729,151100,264600
730,730,151490,264600
731,731,151880,264600
732,732,152271,264600
733,733,152662,264600
734,734,153054,264600
735,735,153446,264600
736,736,153839,264600
737,737,154232,264600
738,738,154626,264600
739,739,155020,264600
740,740,155415,264600
741,741,155810,264600
742,742,156206,264600
743,743,156602,264600
744,744,156999,264600
745,745,157396,264600
746,746,157794,264600
747,747,158192,264600
748,748,158591,264600
749,749,158990,264600
750,750,159390,264600
751,751,159790,264600
752,752,160191,264600
753,753,160592,264600
754,754,160994,264600
755,755,161396,264600
756,756,161799,264600
757,757,162202,264600
758,758,162606,264600
759,759,163010,264600
760,760,163415,264600
761,761,163820,264600
762,762,164226,264600
763,763,164632,264600
764,764,165039,264600
765,765,165446,264600
766,766,165854,264600
767,767,166262,264600
768,768,166671,264600
769,769,167080,264600
770,770,167490,264600
771,771,167900,264600
772,772,168311,264600
773,773,168722,264600
774,774,169134,264600
775,775,169546,264600
776,776,169959,264600
777,777,170372,264600
778,778,170786,264600
779,779,171200,264600
780,780,171615,264600
781,781,172030,264600
782,782,172446,264600
783,783,172862,264600
784,784,173279,264600
785,785,173696,264600
786,786,174114,264600
787,787,174532,264600
788,788,174951,264600
789,789,175370,264600
790,790,175790,264600
791,791,176210,264600
792,792,176631,264600
793,793,177052,264600
794,794,177474,264600
795,795,177896,264600
796,796,178319,264600
797,797,178742,264600
798,798,179166,264600
799,799,179590,264600
800,800,180015,264600
801,801,180440,264600
802,802,180866,264600
803,803,181292,264600
804,804,181719,264600
805,805,182146,264600
806,806,182574,264600
807,807,183002,264600
808,808,183431,264600
809,809,183860,264600
810,810,184290,264600
811,811,184720,264600
812,812,185151,264600
813,813,185582,264600
814,814,186014,264600
815,815,186446,264600
816,816,186879,264600
817,817,187312,264600
818,818,187746,264600
819,819,188180,264600
820,820,188615,264600
821,821,189050,264600
822,822,189486,264600
823,823,189922,264600
824,824,190359,264600
825,825,190796,264600
826,826,191234,264600
827,827,191672,264600
828,828,192111,264600
829,829,192550,264600
830,830,192990,264600
831,831,193430,264600
832,832,193871,264600
833,833,194312,264600
834,834,194754,264600
835,835,195196,264600
836,836,195639,264600
837,837,196082,264600
838,838,196526,264600
839,839,196970,264600
840,840,197415,264600
841,841,197860,264600
842,842,198306,264600
843,843,198752,264600
844,844,199199,264600
845,845,199646,264600
846,846,200094,264600
847,847,200542,264600
848,848,200991,264600
849,849,201440,264600
850,850,201890,264600
851,851,202340,264600
852,852,202791,264600
853,853,203242,264600
854,854,203694,264600
855,855,204146,264600
856,856,204599,264600
857,857,205052,264600
858,858,205506,264600
859,859,205960,264600
860,860,206415,264600
861,861,206870,264600
862,862,207326,264600
863,863,207782,264600
864,864,208239,264600
865,865,208696,264600
866,866,209154,264600
867,867,209612,264600
868,868,210071,264600
869,869,210530,264600
870,870,210990,264600
871,871,211450,264600
872,872,211911,264600
873,873,212372,264600
874,874,212834,264600
875,875,213296,264600
876,876,213759,264600
877,877,214222,264600
878,878,214686,264600
879,879,215150,264600
880,880,215615,264600
881,881,216080,264600
882,882,216546,264600
883,883,217012,264600
884,884,217479,264600
885,885,217946,264600
886,886,218414,264600
887,887,218882,264600
888,888,219351,264600
889,889,219820,264600
890,890,220290,264600
891,891,220760,264600
892,892,221231,264600
893,893,221702,264600
894,894,222174,264600
895,895,222646,264600
896,896,223119,264600
897,897,223592,264600
898,898,224066,264600
899,899,224540,264600
900,900,225015,264600
901,901,225490,264600
902,902,225966,264600
903,903,226442,264600
904,904,226919,264600
905,905,227396,264600
906,906,227874,264600
907,907,228352,264600
908,908,228831,264600
909,909,229310,264600
910,910,229790,264600
911,911,230270,264600
912,912,230751,264600
913,913,231232,264600
914,914,231714,264600
915,915,232196,264600
916,916,232679,264600
917,917,233162,264600
918,918,233646,264600
919,919,234130,264600
920,920,234615,264600
921,921,235100,264600
922,922,235586,264600
923,923,236072,264600
924,924,236559,264600
925,925,237046,264600
926,926,237534,264600
927,927,238022,264600
928,928,238511,264600
929,929,239000,264600
930,930,239490,264600
931,931,239980,264600
932,932,240471,264600
933,933,240962,264600
934,934,241454,264600
935,935,241946,264600
936,936,242439,264600
937,937,242932,264600
938,938,243426,264600
939,939,243920,264600
940,940,244415,264600
941,941,244910,264600
942,942,245406,264600
943,943,245902,264600
944,944,246399,264600
945,945,246896,264600
946,946,247394,264600
947,947,247892,264600
948,948,248391,264600
949,949,248890,264600
950,950,249390,264600
951,951,249890,264600
952,952,250391,264600
953,953,250892,264600
954,954,251394,264600
955,955,251896,264600
956,956,252399,264600
957,957,252902,264600
958,958,253406,264600
959,959,253910,264600
960,960,254415,264600
961,961,254920,264600
962,962,255426,264600
963,963,255932,264600
964,964,256439,264600
965,965,256946,264600
966,966,257454,264600
967,967,257962,264600
968,968,258471,264600
969,969,258980,264600
970,970,259490,264600
971,971,260000,264600
972,972,260511,264600
973,973,261022,264600
974,974,261534,264600
975,975,262046,264600
976,976,262559,264600
977,977,263072,264600
978,978,263586,264600
979,979,264100,264600
980,980,264615,264600
981,981,265130,264600
982,982,265646,264600
983,983,266162,264600
984,984,266679,264600
985,985,267196,264600
986,986,267714,264600
987,987,268232,264600
988,988,268751,264600
989,989,269270,264600
990,990,269790,264600
991,991,270310,264600
992,992,270831,264600
993,993,271352,264600
994,994,271874,264600
995,995,272396,264600
996,996,272919,264600
997,997,273442,264600
998,998,273966,264600
999,999,274490,264600
1000,1000,275015,264600
1001,1001,275365,264600
1002,1002,275715,264600
1003,1003,276065,264600
1004,1004,276415,264600
1005,1005,276765,264600
1006,1006,277115,264600
1007,1007,277465,264600
1008,1008,277815,264600
1009,1009,278165,264600
1010,1010,278515,264600
1011,1011,278865,264600
1012,1012,279215,264600
1013,1013,279565,264600
1014,1014,279915,264600
1015,1015,280265,264600
1016,1016,280615,264600
1017,1017,280965,264600
1018,1018,281315,264600
1019,1019,281665,264600
1020,1020,282015,264600
1021,1021,282365,264600
1022,1022,282715,264600
1023,1023,283065,264600
1024,1024,283415,264600
1025,1025,283765,264600
1026,1026,284115,264600
1027,1027,284465,264600
1028,1028,284815,264600
1029,1029,285165,264600
1030,1030,285515,264600
1031,1031,285865,264600
1032,1032,286215,264600
1033,1033,286565,264600
1034,1034,286915,264600
1035,1035,287265,264600
1036,1036,287615,264600
1037,1037,287965,264600
1038,1038,288315,264600
1039,1039,288665,264600
1040,1040,289015,264600
1041,1041,289365,264600
1042,1042,289715,264600
1043,1043,290065,264600
1044,1044,290415,264600
1045,1045,290765,264600
1046,1046,291115,264600
1047,1047,291465,264600
1048,1048,291815,264600
1049,1049,292165,264600
1050,1050,292515,264600
1051,1051,292865,264600
1052,1052,293215,264600
1053,1053,293565,264600
1054,1054,293915,264600
1055,1055,294265,264600
1056,1056,294615,264600
1057,1057,294965,264600
1058,1058,295315,264600
1059,1059,295665,264600
1060,1060,296015,264600
1061,1061,296365,264600
1062,1062,296715,264600
1063,1063,297065,264600
1064,1064,297415,264600
1065,1065,297765,264600
1066,1066,298115,264600
1067,1067,298465,264600
1068,1068,298815,264600
1069,1069,299165,264600
1070,1070,299515,264600
1071,1071,299865,264600
1072,1072,300215,264600
1073,1073,300565,264600
1074,1074,300915,264600
1075,1075,301265,264600
1076,1076,301615,264600
1077,1077,301965,264600
1078,1078,302315,264600
1079,1079,302665,264600
1080,1080,303015,264600
1081,1081,303365,264600
1082,1082,303715,264600
1083,1083,304065,264600
1084,1084,304415,264600
1085,1085,304765,264600
1086,1086,305115,264600
1087,1087,305465,264600
1088,1088,305815,264600
1089,1089,306165,264600
1090,1090,306515,264600
1091,1091,306865,264600
1092,1092,307215,264600
1093,1093,307565,264600
1094,1094,307915,264600
1095,1095,308265,264600
1096,1096,308615,264600
1097,1097,308965,264600
1098,1098,309315,264600
1099,1099,309665,264600
1100,1100,310015,264600
1101,1101,310365,264600
1102,1102,310715,264600
1103,1103,311065,264600
1104,1104,311415,264600
1105,1105,311765,264600
1106,1106,312115,264600
1107,1107,312465,264600
1108,1108,312815,264600
1109,1109,313165,264600
1110,1110,313515,264600
1111,1111,313865,264600
1112,1112,314215,264600
1113,1113,314565,264600
1114,1114,314915,264600
1115,1115,315265,264600
1116,1116,315615,264600
1117,1117,315965,264600
1118,1118,316315,264600
1119,1119,316665,264600
1120,1120,317015,264600
1121,1121,317365,264600
1122,1122,317715,264600
1123,1123,318065,264600
1124,1124,318415,264600
1125,1125,318765,264600
1126,1126,319115,264600
1127,1127,319465,264600
1128,1128,319815,264600
1129,1129,320165,264600
1130,1130,320515,264600
1131,1131,320865,264600
1132,1132,321215,264600
1133,1133,321565,264600
1134,1134,321915,264600
1135,1135,322265,264600
1136,1136,322615,264600
1137,1137,322965,264600
1138,1138,323315,264600
1139,1139,323665,264600
1140,1140,324015,264600
1141,1141,324365,264600
1142,1142,324715,264600
1143,1143,325065,264600
1144,1144,325415,264600
1145,1145,325765,264600
1146,1146,326115,264600
1147,1147,326465,264600
1148,1148,326815,264600
1149,1149,327165,264600
1150,1150,327515,264600
1151,1151,327865,264600
1152,1152,328215,264600
1153,1153,328565,264600
1154,1154,328915,264600
1155,1155,329265,264600
1156,1156,329615,264600
1157,1157,329965,264600
1158,1158,330315,264600
1159,1159,330665,264600
1160,1160,331015,264600
1161,1161,331365,264600
1162,1162,331715,264600
1163,1163,332065,264600
1164,1164,332415,264600
1165,1165,332765,264600
1166,1166,333115,264600
1167,1167,333465,264600
1168,1168,333815,264600
1169,1169,334165,264600
1170,1170,334515,264600
1171,1171,334865,264600
1172,1172,335215,264600
1173,1173,335565,264600
1174,1174,335915,264600
1175,1175,336265,264600
1176,1176,336615,264600
1177,1177,336965,264600
1178,1178,337315,264600
1179,1179,337665,264600
1180,1180,338015,264600
1181,1181,338365,264600
1182,1182,338715,264600
1183,1183,339065,264600
1184,1184,339415,264600
1185,1185,339765,264600
1186,1186,340115,264600
1187,1187,340465,264600
1188,1188,340815,264600
1189,1189,341165,264600
1190,1190,341515,264600
1191,1191,341865,264600
1192,1192,342215,264600
1193,1193,342565,264600
1194,1194,342915,264600
1195,1195,343265,264600
1196,1196,343615,264600
1197,1197,343965,264600
1198,1198,344315,264600
1199,1199,344665,264600
1200,1200,345015,264600
1201,1201,345365,264600
1202,1202,345715,264600
1203,1203,346065,264600
1204,1204,346415,264600
1205,1205,346765,264600
1206,1206,347115,264600
1207,1207,347465,264600
1208,1208,347815,264600
1209,1209,348165,264600
1210,1210,348515,264600
1211,1211,348865,264600
1212,1212,349215,264600
1213,1213,349565,264600
1214,1214,349915,264600
1215,1215,350265,264600
1216,1216,350615,264600
1217,1217,350965,264600
1218,1218,351315,264600
1219,1219,351665,264600
1220,1220,352015,264600
1221,1221,352365,264600
1222,1222,352715,264600
1223,1223,353065,264600
1224,1224,353415,264600
1225,1225,353765,264600
1226,1226,354115,264600
1227,1227,354465,264600
1228,1228,354815,264600
1229,1229,355165,264600
1230,1230,355515,264600
1231,1231,355865,264600
1232,1232,356215,264600
1233,1233,356565,264600
1234,1234,356915,264600
1235,1235,357265,264600
1236,1236,357615,264600
1237,1237,357965,264600
1238,1238,358315,264600
1239,1239,358665,264600
1240,1240,359015,264600
1241,1241,359365,264600
1242,1242,359715,264600
1243,1243,360065,264600
1244,1244,360415,264600
1245,1245,360765,264600
1246,1246,361115,264600
1247,1247,361465,264600
1248,1248,361815,264600
1249,1249,362165,264600
1250,1250,362515,264600
1251,1251,362865,264600
1252,1252,363215,264600
1253,1253,363565,264600
1254,1254,363915,264600
1255,1255,364265,264600
1256,1256,364615,264600
1257,1257,364965,264600
1258,1258,365315,264600
1259,1259,365665,264600
1260,1260,366015,264600
1261,1261,366365,264600
1262,1262,366715,264600
1263,1263,367065,264600
1264,1264,367415,264600
1265,1265,367765,264600
1266,1266,368115,264600
1267,1267,368465,264600
1268,1268,368815,264600
1269,1269,369165,264600
1270,1270,369515,264600
1271,1271,369865,264600
1272,1272,370215,264600
1273,1273,370565,264600
1274,1274,370915,264600
1275,1275,371265,264600
1276,1276,371615,264600
1277,1277,371965,264600
1278,1278,372315,264600
1279,1279,372665,264600
1280,1280,373015,264600
1281,1281,373365,264600
1282,1282,373715,264600
1283,1283,374065,264600
1284,1284,374415,264600
1285,1285,374765,264600
1286,1286,375115,264600
1287,1287,375465,264600
1288,1288,375815,264600
1289,1289,376165,264600
1290,1290,376515,264600
1291,1291,376865,264600
1292,1292,377215,264600
1293,1293,377565,264600
1294,1294,377915,264600
1295,1295,378265,264600
1296,1296,378615,264600
1297,1297,378965,264600
1298,1298,379315,264600
1299,1299,379665,264600
1300,1300,380015,264600
1301,1301,380365,264600
1302,1302,380715,264600
1303,1303,381065,264600
1304,1304,381415,264600
1305,1305,381765,264600
1306,1306,382115,264600
1307,1307,382465,264600
1308,1308,382815,264600
1309,1309,383165,264600
1310,1310,383515,264600
1311,1311,383865,264600
1312,1312,384215,264600
1313,1313,384565,264600
1314,1314,384915,264600
1315,1315,385265,264600
1316,1316,385615,264600
1317,1317,385965,264600
1318,1318,386315,264600
1319,1319,386665,264600
1320,1320,387015,264600
1321,1321,387365,264600
1322,1322,387715,264600
1323,1323,388065,264600
1324,1324,388415,264600
1325,1325,388765,264600
1326,1326,389115,264600
1327,1327,389465,264600
1328,1328,389815,264600
1329,1329,390165,264600
1330,1330,390515,264600
1331,1331,390865,264600
1332,1332,391215,264600
1333,1333,391565,264600
