,,,,,,,,,,,,,,materialPoints [],,,,,,,,,,
14,2,2,0,3,9,0,17,5,2,5,1,272,231,6,0,2,1,0,0,0,2,16,14,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
15,2,2,0,7,13,0,22,6,2,80,0,273,-1,6,0,2,1,0,0,0,2,16,15,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
16,2,2,0,15,21,0,23,7,2,25,1,274,-1,6,0,2,1,0,0,0,3,24,16,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
17,2,2,0,11,17,0,26,6,2,85,0,275,225,6,0,2,1,0,0,0,3,24,17,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
18,2,3,0,13,19,0,52,6,2,60,1,276,-1,6,0,0,0,0,1,0,3,24,18,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
19,2,3,0,8,14,0,53,6,2,90,0,277,257,6,0,0,0,0,1,0,3,24,19,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
20,2,3,0,20,26,0,60,7,1,-1,0,278,241,6,0,0,0,0,1,0,4,32,20,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
21,2,4,0,16,22,0,42,7,2,20,0,279,-1,6,0,0,0,0,3,0,4,32,21,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
22,2,4,0,14,20,0,37,7,2,50,1,280,230,6,0,0,0,0,3,0,3,24,22,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
23,2,4,0,12,18,0,38,6,2,55,0,281,-1,6,0,0,0,0,3,0,3,24,23,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
24,2,4,0,10,16,0,35,6,2,10,1,282,235,6,0,0,0,0,3,0,3,24,24,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
25,2,2,0,21,27,0,26,8,2,100,0,283,229,6,0,2,1,0,0,0,4,32,25,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
26,2,2,0,18,24,0,22,7,2,35,1,284,-1,6,0,2,1,0,0,0,4,32,26,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
27,2,3,0,23,29,0,52,8,2,105,0,285,260,6,0,0,0,0,1,0,4,32,27,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
28,2,3,0,30,42,0,53,9,2,110,1,286,233,6,0,1,0,0,2,0,5,40,28,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
29,2,3,0,54,122,0,58,12,2,115,0,287,-1,6,0,1,0,0,2,0,8,64,29,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
30,2,3,0,60,150,0,14,13,2,120,1,288,-1,6,0,1,0,0,2,0,9,72,30,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
31,2,3,0,45,87,0,53,11,2,30,0,289,238,6,0,1,0,0,2,0,7,56,31,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
32,2,4,0,22,28,0,40,8,2,95,1,290,228,6,0,0,0,0,3,0,4,32,32,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
33,2,4,0,25,31,0,42,8,2,65,0,291,-1,6,0,1,0,0,3,1,5,40,33,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
34,2,4,0,19,25,0,40,7,2,41,1,292,-1,6,0,0,0,0,3,0,4,32,34,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
35,2,4,0,28,37,0,52,9,2,46,0,293,-1,6,0,1,0,0,3,1,5,40,35,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
36,2,2,0,48,98,0,22,11,2,16,1,294,-1,6,0,3,2,1,0,0,8,64,36,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
37,2,2,0,24,30,0,86,8,2,71,0,295,-1,6,0,2,1,0,0,0,5,40,37,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
38,2,3,0,26,33,0,52,8,2,76,1,296,-1,6,0,1,0,0,2,0,5,40,38,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
39,2,3,0,35,55,0,53,10,2,6,0,297,234,6,0,1,0,0,2,0,6,48,39,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
40,2,3,0,58,140,0,54,13,2,81,1,298,261,6,0,1,0,0,2,0,9,72,40,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
41,2,6,0,65,175,0,87,14,2,26,0,299,-1,6,0,1,0,0,2,0,10,80,41,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
42,2,6,0,70,202,0,43,15,2,86,1,300,-1,6,0,0,2,0,0,2,10,80,42,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
43,2,4,0,72,213,0,37,15,2,11,0,301,-1,6,0,1,1,0,4,1,11,88,43,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
44,2,4,0,61,154,0,38,13,2,91,1,302,-1,6,0,1,1,0,4,1,9,72,44,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
45,2,4,0,34,52,0,101,9,2,21,0,303,262,6,0,1,0,0,3,1,6,48,45,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
46,2,4,0,27,35,0,39,8,2,51,1,304,-1,6,0,1,0,0,3,1,5,40,46,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
47,2,4,0,32,46,0,40,9,2,56,0,305,-1,6,0,1,0,0,3,1,6,48,47,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
48,2,4,0,40,70,0,37,10,2,96,1,306,263,6,0,1,1,0,3,1,7,56,48,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
49,2,2,0,50,106,10,102,12,2,101,0,307,-1,6,0,3,2,1,0,0,8,64,49,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
50,2,2,0,33,49,10,10,9,2,36,1,308,-1,6,0,3,2,1,0,0,6,48,50,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
51,2,3,0,31,44,10,11,9,2,106,0,309,-1,6,0,1,0,0,2,0,5,40,51,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
52,2,3,0,37,60,10,13,10,2,111,1,310,-1,6,0,1,0,0,2,0,6,48,52,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
53,2,3,0,41,73,10,53,10,1,-1,0,311,237,6,0,1,0,0,2,0,7,56,53,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
54,2,6,0,43,79,10,26,11,2,116,0,312,-1,6,0,1,0,0,2,0,7,56,54,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
55,2,6,0,46,90,10,54,11,2,121,1,313,-1,6,0,0,2,0,0,2,7,56,55,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
56,2,6,0,75,231,10,44,15,1,-1,0,314,-1,6,0,0,3,0,0,3,11,88,56,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
57,2,6,0,55,127,10,41,12,2,61,0,315,-1,6,0,0,2,0,0,2,8,64,57,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
58,2,4,0,56,131,10,42,13,2,31,0,316,-1,6,0,1,1,0,4,1,9,72,58,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
59,2,4,0,82,274,10,37,16,2,66,1,317,-1,6,0,2,1,0,4,2,12,96,59,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
60,2,4,0,51,110,10,58,12,2,42,0,318,-1,6,0,1,1,0,4,1,8,64,60,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
61,2,4,0,29,39,10,39,9,2,47,1,319,-1,6,0,1,0,0,3,1,5,40,61,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
62,2,4,0,52,114,10,59,12,1,-1,0,320,-1,6,0,1,1,0,4,1,8,64,62,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
63,2,4,0,44,83,10,52,11,2,72,0,321,-1,6,0,1,1,0,3,1,7,56,63,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
64,3,2,1,74,231,20,72,35,2,77,1,322,-1,6,0,3,2,1,0,0,11,88,64,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
65,3,2,1,62,213,20,86,33,2,7,0,323,-1,6,0,3,2,1,0,0,9,72,65,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
66,3,3,1,76,234,20,55,35,2,82,1,324,-1,6,0,2,0,0,3,0,11,88,66,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
67,3,3,1,92,258,20,87,38,2,27,0,325,-1,6,0,2,0,0,3,0,13,104,67,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
68,3,3,1,88,252,20,57,37,2,87,1,326,-1,6,0,2,0,0,3,0,13,104,68,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
69,3,6,1,142,333,20,56,45,2,12,0,327,-1,6,0,2,0,0,3,0,19,152,69,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
70,3,6,1,90,255,20,101,37,2,92,1,328,-1,6,0,0,3,0,0,3,13,104,70,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
71,3,6,1,135,322,20,69,44,2,22,0,329,264,6,0,0,3,0,0,3,18,144,71,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
72,3,5,2,250,495,25,14,60,2,52,1,330,-1,6,0,0,2,0,3,5,33,264,72,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
73,3,6,2,208,432,25,13,54,2,57,0,331,-1,6,0,0,3,0,0,3,28,224,73,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
74,3,6,2,320,600,25,14,70,2,97,1,332,-1,6,0,0,3,0,0,3,42,336,74,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
75,3,7,2,225,457,25,26,57,2,102,0,333,-1,6,0,2,2,0,0,3,30,240,75,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
76,3,7,2,120,300,25,27,42,2,37,1,334,258,6,0,2,2,0,0,3,17,136,76,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
77,3,7,2,112,288,25,41,41,2,107,0,335,-1,6,0,2,2,0,0,3,16,128,77,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
78,3,7,2,69,223,25,43,34,2,112,1,336,-1,6,0,1,1,0,0,2,10,80,78,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
79,3,7,2,85,247,25,42,37,2,117,0,337,-1,6,0,2,2,0,0,2,12,96,79,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
80,3,7,2,162,363,25,44,48,2,122,1,338,-1,6,0,2,2,0,0,3,22,176,80,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
81,3,2,3,777,1285,30,58,136,2,32,0,339,-1,6,0,4,3,2,0,0,99,792,81,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
82,3,2,3,454,801,30,60,89,2,62,1,340,-1,6,0,4,3,2,0,0,58,464,82,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
83,3,3,3,265,517,30,59,62,2,67,0,341,-1,6,0,2,0,0,3,0,35,280,83,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
84,3,3,3,121,301,30,72,42,2,43,1,342,-1,6,0,2,0,0,3,0,17,136,84,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
85,3,3,3,311,586,30,86,69,2,48,0,343,-1,6,0,2,0,0,3,0,40,320,85,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
86,3,6,3,592,1008,30,88,109,2,18,1,344,-1,6,0,2,0,0,3,0,76,608,86,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
87,3,6,3,360,660,30,87,76,2,73,0,345,265,6,0,0,3,0,0,3,47,376,87,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
88,3,6,3,624,1056,30,103,114,2,78,1,346,-1,6,0,0,3,0,0,3,80,640,88,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
89,3,5,3,525,907,30,101,100,2,8,0,347,-1,6,0,0,2,0,3,5,67,536,89,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
90,3,5,5,9999,9999,150,143,200,2,83,1,348,-1,6,0,0,2,0,3,5,1251,10008,90,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
91,3,5,5,4800,7320,100,102,150,2,28,0,349,-1,6,0,0,2,0,3,5,602,4816,91,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
92,3,6,5,6000,9120,100,27,185,2,88,1,350,-1,6,0,0,3,0,0,3,752,6016,92,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
93,3,6,5,2400,3720,50,43,125,2,13,0,351,-1,6,0,0,3,0,0,3,302,2416,93,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
94,3,7,5,5100,7770,50,44,170,2,93,1,352,266,6,0,2,2,0,0,3,639,5112,94,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
95,3,7,4,1100,1770,50,60,100,2,23,0,353,-1,6,0,2,2,0,0,3,139,1112,95,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
96,3,7,4,888,1452,50,73,100,2,53,1,354,-1,6,0,2,2,0,0,3,113,904,96,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
97,3,7,4,1020,1650,50,88,100,2,58,0,355,240,6,0,2,2,0,0,3,129,1032,97,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
98,3,7,4,1600,2520,50,103,100,2,98,1,356,-1,6,0,2,2,0,0,3,202,1616,98,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
99,3,7,4,3200,4920,100,14,100,2,103,0,357,-1,6,0,2,2,0,0,3,402,3216,99,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
