,,,,,,,,,,,,,materialPoints [],,,,,,,,,,,,,,,
24,5,0,71,5,9,42,0,0,19,-2,13,6,6,0,0,0,0,1,2,106,106,120,75,1,1,425,1000,2
25,5,0,72,5,9,47,0,0,19,-2,13,6,6,0,0,0,0,1,2,106,106,150,77,1,1,425,1000,2
26,5,0,73,5,9,48,0,0,19,-2,13,6,6,0,0,0,0,2,4,106,106,180,79,1,1,450,1000,2
27,5,0,75,5,9,49,0,0,19,-2,13,6,6,0,0,0,0,2,4,106,106,200,81,1,1,450,1000,2
28,5,0,76,5,9,50,0,0,19,-2,13,6,6,0,0,0,0,3,6,106,106,250,83,1,1,475,1000,2
29,6,0,77,6,9,91,0,0,19,-2,11,10,6,0,0,0,0,0,1,105,105,100,90,1,1,275,1000,2
30,6,0,78,6,9,46,0,0,19,-2,11,10,6,0,0,0,0,0,1,105,105,150,92,1,1,275,1000,2
31,6,0,79,6,9,56,0,0,19,-2,11,10,6,0,0,1,0,1,2,105,105,200,94,1,1,305,1000,2
32,6,0,81,6,9,57,0,0,19,-2,11,10,6,0,0,1,0,1,2,105,105,250,96,1,1,305,1000,2
33,6,0,82,6,9,58,0,0,19,-2,11,10,6,0,0,1,0,1,3,105,105,300,98,1,1,310,1000,2
34,7,0,83,7,9,63,0,0,19,2,12,10,6,0,1,0,0,0,0,104,104,180,70,1,1,235,1000,2
35,7,0,84,7,9,64,0,0,19,2,12,10,6,0,1,0,0,0,0,104,104,200,72,1,1,235,1000,2
36,7,0,85,7,9,65,0,0,19,2,12,10,6,0,2,1,0,1,1,104,104,250,74,1,1,270,1000,2
37,7,0,87,7,9,66,0,0,19,2,12,10,6,0,2,1,0,1,1,104,104,250,76,1,1,270,1000,2
38,7,0,88,7,9,67,0,0,19,2,12,10,6,0,3,1,0,1,1,104,104,200,78,1,1,280,1000,2
39,8,0,-1,-1,9,70,0,0,19,-2,14,10,6,0,0,0,0,0,1,105,105,150,80,1,1,275,1000,0
40,9,0,95,-1,9,69,0,0,19,-2,15,10,6,0,0,0,0,1,0,102,102,100,80,1,1,105,1000,0
41,10,0,-1,-1,9,71,0,0,19,-2,16,10,6,0,0,0,0,1,2,106,106,100,80,1,1,425,1000,0
42,11,0,-1,-1,9,72,0,0,19,-2,17,10,6,0,0,0,0,2,0,103,103,250,80,1,1,140,1000,0
43,12,0,-1,-1,9,73,0,0,19,-2,18,10,6,0,1,0,0,0,0,104,104,200,80,1,1,235,1000,0
44,13,0,-1,-1,9,74,0,0,19,-2,19,10,6,0,1,1,1,0,0,101,101,350,80,1,1,85,1000,0
45,15,0,46,-1,9,93,10,0,19,-2,24,10,6,0,1,1,1,0,0,100,100,150,15,1,1,85,1000,0
46,15,0,47,-1,9,115,10,1,19,-2,24,10,6,0,1,1,0,0,0,100,100,100,10,1,1,35,1000,0
47,15,0,48,-1,9,116,10,2,19,-2,24,10,6,0,1,0,0,0,0,100,100,50,5,1,1,15,1000,0
48,15,0,-1,-1,9,117,10,3,19,-2,24,10,6,0,1,0,0,0,0,100,100,5,1,1,1,5,1000,0
49,1,1,-1,1,20,30,2,0,19,-2,-1,10,6,0,1,0,0,1,0,100,100,400,180,1,1,65,1000,0
50,1,1,-1,1,20,31,2,0,19,-2,-1,10,6,0,1,0,0,1,0,100,100,400,190,1,1,65,1000,0
51,1,1,-1,1,20,8,2,0,19,-2,-1,10,6,0,1,0,0,1,0,100,100,400,200,1,1,65,1000,0
52,1,1,-1,1,20,9,2,0,19,-2,-1,10,6,0,1,0,0,1,0,100,100,400,210,1,1,65,1000,0
53,2,1,-1,2,20,20,2,0,19,-2,-1,7,6,0,1,1,0,0,0,101,101,500,250,1,1,65,1000,0
54,2,1,-1,2,20,6,2,0,19,-2,-1,7,6,0,1,1,0,0,0,101,101,500,260,1,1,65,1000,0
55,2,1,-1,2,20,10,2,0,19,-2,-1,7,6,0,1,1,0,0,0,101,101,500,270,1,1,65,1000,0
56,2,1,-1,2,20,5,2,0,19,-2,-1,7,6,0,3,2,1,0,0,101,101,500,280,1,1,95,1000,0
57,2,1,-1,2,20,1,0,0,19,-2,-1,14,6,0,6,4,2,0,0,101,101,600,300,1,1,130,1000,0
58,2,1,-1,2,20,0,0,0,19,-2,-1,14,6,0,4,3,1,0,0,101,101,600,300,1,1,105,1000,0
59,3,1,-1,3,20,21,2,0,19,-2,-1,10,6,0,0,0,0,1,0,102,102,500,180,1,1,105,1000,0
60,3,1,-1,3,20,22,2,0,19,-2,-1,10,6,0,0,0,0,1,0,102,102,500,190,1,1,105,1000,0
61,3,1,-1,3,20,23,2,0,19,-2,-1,10,6,0,1,0,0,3,0,102,102,500,200,1,1,130,1000,0
62,3,1,-1,3,20,24,2,0,19,-2,-1,10,6,0,0,0,0,1,0,102,102,500,210,1,1,105,1000,0
63,3,1,-1,3,20,15,0,0,19,-2,-1,14,6,0,2,0,0,6,0,102,102,600,250,1,1,155,1000,0
64,3,1,-1,3,20,14,0,0,19,-2,-1,14,6,0,1,0,0,4,0,102,102,600,250,1,1,135,1000,0
65,4,1,-1,4,20,3,2,0,19,-2,-1,6,6,0,0,0,0,2,0,103,103,500,200,1,1,140,1000,0
66,4,1,-1,4,20,2,2,0,19,-2,-1,6,6,0,0,0,0,2,0,103,103,500,210,1,1,140,1000,0
67,4,1,-1,4,20,25,2,0,19,-2,-1,6,6,0,0,1,0,4,1,103,103,500,220,1,1,170,1000,0
68,4,1,-1,4,20,4,2,0,19,-2,-1,6,6,0,0,1,0,6,1,103,103,500,230,1,1,185,1000,0
69,4,1,-1,4,20,13,0,0,19,-2,-1,14,6,0,0,0,0,2,0,103,103,450,250,1,1,140,1000,0
70,4,1,-1,4,20,12,0,0,19,-2,-1,14,6,0,0,1,0,4,1,103,103,450,250,1,1,170,1000,0
71,5,1,-1,5,20,37,2,0,19,-2,-1,6,6,0,0,0,0,1,2,106,106,750,200,1,1,415,1000,0
72,5,1,-1,5,20,38,2,0,19,-2,-1,6,6,0,0,0,0,1,2,106,106,750,210,1,1,415,1000,0
73,5,1,-1,5,20,39,2,0,19,-2,-1,6,6,0,0,0,0,2,4,106,106,750,220,1,1,435,1000,0
74,5,1,-1,5,20,11,2,0,19,-2,-1,6,6,0,0,0,0,3,6,106,106,750,230,1,1,455,1000,0
75,5,1,-1,5,20,19,0,0,19,-2,-1,14,6,0,0,0,0,1,2,106,106,500,250,1,1,420,1000,0
76,5,1,-1,5,20,18,0,0,19,-2,-1,14,6,0,0,0,0,2,4,106,106,500,250,1,1,445,1000,0
77,6,1,-1,6,20,26,2,0,19,-2,-1,10,6,0,0,0,0,0,1,105,105,600,200,1,1,275,1000,0
78,6,1,-1,6,20,27,2,0,19,-2,-1,10,6,0,0,0,0,0,1,105,105,600,210,1,1,275,1000,0
79,6,1,-1,6,20,28,2,0,19,-2,-1,10,6,0,0,1,0,1,2,105,105,600,220,1,1,295,1000,0
80,6,1,-1,6,20,29,2,0,19,-2,-1,10,6,0,0,0,0,0,1,105,105,600,230,1,1,275,1000,0
81,6,1,-1,6,20,17,0,0,19,-2,-1,14,6,0,0,2,0,2,4,105,105,650,180,1,1,320,1000,0
82,6,1,-1,6,20,16,0,0,19,-2,-1,14,6,0,0,1,0,1,3,105,105,650,180,1,1,300,1000,0
83,7,1,-1,7,20,32,2,0,19,-2,-1,10,6,0,1,0,0,0,0,104,104,650,80,1,1,235,1000,0
84,7,1,-1,7,20,33,2,0,19,-2,-1,10,6,0,1,0,0,0,0,104,104,650,90,1,1,235,1000,0
85,7,1,-1,7,20,34,2,0,19,-2,-1,10,6,0,2,1,0,1,1,104,104,650,100,1,1,260,1000,0
86,7,1,-1,7,20,35,2,0,19,-2,-1,10,6,0,2,1,0,1,1,104,104,650,110,1,1,260,1000,0
87,7,1,-1,7,20,36,0,0,19,-2,-1,14,6,0,3,1,0,1,1,104,104,500,160,1,1,275,1000,0
88,7,1,-1,7,20,7,0,0,19,-2,-1,14,6,0,2,1,0,1,1,104,104,500,160,1,1,265,1000,0
89,14,0,90,8,9,77,8,0,19,-2,92,15,6,0,0,0,0,0,0,-1,-1,0,0,1,1,50,1000,2
90,14,0,91,8,9,77,8,1,19,-2,92,15,6,0,0,0,0,0,0,-1,-1,0,0,1,1,50,1000,2
91,14,0,-1,8,9,77,8,2,19,-2,92,8,6,0,1,0,0,0,0,-1,0,1000,0,1,1,55,1000,0
92,14,0,93,9,9,97,9,0,19,-2,93,15,6,0,0,0,0,0,0,-1,-1,0,0,1,1,50,1000,2
93,14,0,94,9,9,97,9,1,19,-2,93,15,6,0,0,0,0,0,0,-1,-1,0,0,1,1,50,1000,2
94,14,0,-1,9,9,97,9,2,19,-2,93,14,6,0,0,2,0,0,0,-1,1,1000,0,1,1,60,1000,2
95,1,2,-1,-1,23,4,0,0,19,-2,72,-1,6,0,0,0,0,0,0,100,-1,0,0,1,1,50,1000,0
96,2,2,-1,-1,23,19,0,0,19,-2,71,-1,6,0,0,0,0,0,0,101,-1,0,0,1,1,50,1000,0
97,5,2,-1,-1,23,34,0,0,19,-2,73,-1,6,0,0,0,0,0,0,106,-1,0,0,1,1,50,1000,0
98,4,2,-1,-1,23,35,0,0,19,-2,74,-1,6,0,0,0,0,0,0,103,-1,0,0,1,1,50,1000,0
99,3,2,-1,-1,23,36,0,0,19,-2,75,-1,6,0,0,0,0,0,0,102,-1,0,0,1,1,50,1000,0
100,7,2,-1,-1,23,37,0,0,19,-2,76,-1,6,0,0,0,0,0,0,104,-1,0,0,1,1,50,1000,0
101,6,2,-1,-1,23,38,0,0,19,-2,77,-1,6,0,0,0,0,0,0,105,-1,0,0,1,1,50,1000,0
102,15,2,-1,-1,23,39,0,0,19,-2,78,-1,6,0,0,0,0,0,0,-1,-1,0,0,1,1,50,1000,0
103,15,2,-1,-1,23,78,0,0,19,-2,223,-1,6,0,0,0,0,0,0,-1,-1,0,0,1,1,50,1000,0
104,2,1,-1,2,20,43,0,0,19,-2,-1,7,6,0,5,0,0,0,0,-1,-1,1000,0,1,3,75,1000,0
105,2,1,-1,2,20,44,0,0,19,-2,-1,14,6,0,0,5,0,0,0,-1,-1,1000,0,1,3,75,500,0
106,2,1,-1,2,20,45,0,0,19,-2,-1,14,6,0,0,0,5,0,0,-1,-1,1000,0,1,3,75,500,0
107,3,1,-1,3,20,46,0,0,19,-2,-1,6,6,0,0,0,0,3,0,-1,-1,1000,0,1,3,140,500,0
108,4,1,-1,4,20,46,0,0,19,-2,-1,6,6,0,0,0,0,3,0,-1,-1,1000,0,1,3,140,500,0
109,3,1,-1,3,20,47,0,0,19,-2,-1,6,6,0,0,0,0,0,2,-1,-1,1000,0,1,3,135,300,0
110,4,1,-1,4,20,47,0,0,19,-2,-1,6,6,0,0,0,0,0,2,-1,-1,1000,0,1,3,135,300,0
111,4,1,-1,4,20,48,0,0,19,-2,-1,10,6,0,0,0,0,0,0,-1,-1,0,0,1,1,125,200,0
112,2,1,-1,2,20,49,0,0,19,-2,-1,6,6,0,2,2,2,2,2,-1,101,0,1000,1,3,150,300,0
113,3,1,-1,3,20,49,0,0,19,-2,-1,6,6,0,2,2,2,2,2,-1,102,0,1000,1,3,200,300,0
114,4,1,-1,4,20,49,0,0,19,-2,-1,6,6,0,2,2,2,2,2,-1,103,0,1000,1,3,225,300,0
115,2,1,-1,2,20,50,0,0,19,-2,-1,6,6,0,2,2,2,2,2,-1,101,0,1000,1,3,150,300,0
116,3,1,-1,3,20,50,0,0,19,-2,-1,6,6,0,2,2,2,2,2,-1,102,0,1000,1,3,200,300,0
117,4,1,-1,4,20,50,0,0,19,-2,-1,6,6,0,2,2,2,2,2,-1,103,0,1000,1,3,225,300,0
118,5,1,-1,5,20,50,0,0,19,-2,-1,6,6,0,10,10,10,10,10,-1,106,0,1000,1,3,550,300,0
119,6,1,-1,6,20,50,0,0,19,-2,-1,6,6,0,8,8,8,8,8,-1,105,0,1000,1,3,450,300,0
120,7,1,-1,7,20,50,0,0,19,-2,-1,6,6,0,10,10,10,10,10,-1,104,0,1000,1,3,550,300,0
121,1,1,-1,1,20,51,0,0,19,-2,-1,6,6,0,3,0,0,5,0,100,100,750,180,1,3,100,1000,0
122,1,1,-1,1,20,52,0,0,19,-2,-1,6,6,0,3,0,0,5,0,100,100,750,180,1,3,100,1000,0
123,2,1,-1,2,20,53,0,0,19,-2,-1,6,6,0,0,0,0,0,3,-1,101,1000,0,1,3,65,200,0
124,3,1,-1,3,20,53,0,0,19,-2,-1,6,6,0,0,0,0,0,3,-1,102,1000,0,1,3,115,200,0
125,4,1,-1,4,20,53,0,0,19,-2,-1,6,6,0,0,0,0,0,6,-1,103,1000,0,1,3,155,200,0
126,5,1,-1,5,20,53,0,0,19,-2,-1,6,6,0,0,0,0,0,8,-1,106,1000,0,1,3,440,200,0
127,6,1,-1,6,20,53,0,0,19,-2,-1,6,6,0,0,0,0,0,8,-1,105,1000,0,1,3,310,200,0
128,7,1,-1,7,20,53,0,0,19,-2,-1,6,6,0,0,0,0,0,8,-1,104,1000,0,1,3,270,200,0
129,2,1,-1,2,20,54,0,0,19,-2,-1,6,6,0,1,1,0,0,0,1,101,450,0,1,1,65,300,0
130,4,1,-1,4,20,54,0,0,19,-2,-1,6,6,0,1,1,0,0,0,1,103,450,0,1,1,140,300,0
131,2,1,-1,2,20,54,0,0,19,-2,-1,6,6,0,1,1,0,0,0,2,101,450,0,1,1,65,300,0
132,4,1,-1,4,20,54,0,0,19,-2,-1,6,6,0,1,1,0,0,0,2,103,450,0,1,1,140,300,0
133,4,1,-1,4,20,55,0,0,19,-2,-1,6,6,0,0,0,0,7,0,-1,103,1000,0,1,1,160,100,0
134,5,1,-1,5,20,55,0,0,19,-2,-1,6,6,0,0,0,0,10,0,-1,106,1000,0,1,1,450,100,0
135,6,1,-1,6,20,55,0,0,19,-2,-1,6,6,0,0,0,0,10,0,-1,105,1000,0,1,1,320,100,0
136,7,1,-1,7,20,55,0,0,19,-2,-1,6,6,0,0,0,0,10,0,-1,104,1000,0,1,1,280,100,0
137,0,3,-1,-1,9,113,0,0,19,-2,192,6,6,0,0,0,0,0,0,107,107,0,5,1,1,5,1000,0
138,4,1,-1,4,20,56,5,0,19,-2,-1,6,6,0,2,2,2,2,2,-1,202,0,1000,1,2,225,150,5
139,1,1,-1,1,20,59,5,0,19,-2,-1,6,6,0,2,2,2,2,2,-1,200,0,1000,1,2,150,150,5
140,2,1,-1,2,20,58,5,0,19,-2,-1,6,6,0,2,2,2,2,2,-1,201,0,1000,1,2,150,150,5
141,3,1,-1,3,20,57,5,0,19,-2,-1,6,6,0,2,2,2,2,2,-1,203,0,1000,1,2,200,150,5
