,,,,,,,,,,,,prices,,,,,,,,,,,,,,,,,,,,,
17,"3,600 Diamonds",2,8,0,-1,-1,0,-1,0,0,-1,2,0,0,-1,A great chance to get a lot of Diamonds all at once.,Not used,1,0,0,3600,-1,0,0,0,-1,dia_3600_case0,0,0,0,0,353,"init find, android, ios, shop sale"
18,"8,000 Diamonds",2,8,0,-1,-1,0,-1,0,0,-1,2,0,0,-1,A great chance to get a lot of Diamonds all at once.,Not used,1,0,0,8000,-1,0,0,0,-1,dia_8000_case0,0,0,0,0,353,"init find, android, ios, shop sale"
19,Kairo Land,0,2,0,-1,-1,0,-1,1,1,-1,2,0,0,-1,Get some Diamonds!,Not used,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,289,"init find, android, shop sale"
20,Tapjoy,0,3,0,-1,-1,0,-1,1,1,-1,2,0,0,-1,Get some Diamonds!,Not used,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,353,"init find, android, ios, shop sale"
21,Share Screenshot<br>(With Bonus),0,4,0,-1,-1,0,-1,1,1,-1,2,0,0,-1,Share a screenshot to get Diamonds!,Not used,1,1,0,200,-1,0,0,0,77,0,0,0,0,0,373,"init find, sell only once, any platform, android, ios, shop sale"
22,Share Screenshot<br>(With Bonus),0,4,0,-1,-1,0,-1,1,1,-1,2,0,0,-1,Share a screenshot to get Diamonds!,Not used,1,1,0,100,-1,0,0,0,78,0,0,0,0,0,356,"sell only once, android, ios, shop sale"
23,Share Screenshot<br>(No Bonus),0,4,0,-1,-1,0,-1,1,1,-1,2,0,0,-1,Share your screenshots!,Not used,1,1,0,0,-1,0,0,0,79,0,0,0,0,0,352,"android, ios, shop sale"
24,Write us<br>a review!,0,5,0,-1,-1,0,-1,1,1,-1,2,0,0,-1,Please review the game!,Not used,1,1,0,400,-1,0,0,0,80,0,0,0,0,0,293,"init find, sell only once, android, shop sale"
25,Write us<br>a review!,0,5,0,-1,-1,0,-1,1,1,-1,2,0,0,-1,Please review the game!,Not used,1,1,0,400,-1,0,0,0,80,0,0,0,0,0,325,"init find, sell only once, ios, shop sale"
26,Recover Energy,4,0,0,1,-1,5,-1,3,0,2,2,2,70,5,Completely recover the town's Energy.,Your Energy has been recovered!,5,4,100,100,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
27,Recovery Potion (L),4,0,0,1,-1,4,-1,0,1,2,2,2,40,15,Restores 50% of<br>all residents' HP.,All residents recovered 50% HP!,3,0,50,50,-1,0,0,0,-1,0,0,0,0,0,4448,"android, ios, shop sale, boss battle useable"
28,Recovery Potion (S),4,0,0,1,-1,3,-1,1,1,-1,2,1,20,20,Restores 50% of<br>one resident's HP.,Recovered 50% HP!,3,1,50,50,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
29,Mystic Flute,4,0,0,1,-1,3,-1,2,1,2,2,1,20,20,Moves all residents to the Town Hall.<br>*Does not affect residents on a conquest.,Summoned all residents to the Town Hall!<br>*They will leave after some time.,5,0,0,0,-1,0,0,0,-1,0,0,0,0,0,352,"android, ios, shop sale"
30,Small Flute,4,0,0,1,-1,2,-1,3,1,-1,2,1,10,20,Moves one resident to the Town Hall.<br>*Does not affect residents on a conquest.,Summoned to the Town Hall!<br>*The resident will leave after some time.,5,1,0,0,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
31,Holy Herb,4,0,0,1,-1,4,-1,4,1,2,2,2,40,15,Restores 100% of<br>all residents' MP.,Recovered MP!,3,2,100,100,-1,0,0,0,-1,0,0,0,0,0,4448,"android, ios, shop sale, boss battle useable"
32,Sacred Leaf,4,0,0,1,-1,3,-1,5,1,-1,2,1,20,20,Restores 100% of<br>one resident's MP.,Recovered MP!,3,3,100,100,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
33,Energizing Stew,4,0,0,1,-1,4,-1,7,1,2,2,2,40,15,Restores 100% of<br>all residents' Vigor.,Recovered Vigor!,3,4,100,100,-1,0,0,0,-1,0,0,0,0,0,352,"android, ios, shop sale"
34,Energizing Rice Ball,4,0,0,1,-1,2,-1,6,1,-1,2,1,10,20,Restores 100% of<br>one resident's Vigor.,Recovered Vigor!,3,5,100,100,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
35,Mystic Elixir,4,0,0,1,-1,5,-1,8,1,2,2,2,70,5,Increases all residents'<br>Lifespan by 1.,+1 to all residents' lifespans!,4,0,1,1,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
36,Homeopathic Elixir,4,0,0,1,-1,3,-1,9,1,2,2,1,20,20,Increases one resident's<br>Lifespan by 1.,+1 to lifespan!,4,1,1,1,-1,0,0,0,-1,0,0,0,0,0,352,"android, ios, shop sale"
37,Eternal Candle,4,0,0,1,-1,5,-1,0,2,2,2,2,70,5,Makes one resident's Lifespan infinite.,Lifespan now infinite!,4,2,0,0,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
38,Awakening Vessel,4,0,0,1,-1,2,-1,1,2,2,2,1,10,20,Wakes up all residents.<br>*Use at night.,All residents are awake!<br>No one's getting any sleep tonight.,5,2,12,12,-1,0,0,0,-1,0,0,0,0,0,352,"android, ios, shop sale"
39,Royal Gift,4,0,0,1,-1,4,-1,2,2,-1,2,2,40,15,Grants EXP (all types) to all residents.,+<0> to all residents'<br>EXP!,8,34,25,25,-1,0,0,0,-1,0,0,0,0,0,32864,"android, ios, multiple usable"
40,Kairo Flan,4,0,0,-1,-1,4,-1,0,4,-1,2,2,40,15,Grants EXP (all types) to all residents.,<po=m>+<0> to all residents'<br>EXP!,8,34,200,200,-1,0,0,0,-1,0,0,0,0,0,32864,"android, ios, multiple usable"
41,Wairo Flan,4,0,0,-1,-1,4,-1,1,4,-1,2,2,40,15,Grants EXP (all types) to all residents.,<po=m>+<0> to all residents'<br>EXP!,8,34,200,200,-1,0,0,0,-1,0,0,0,0,0,32864,"android, ios, multiple usable"
42,Kairo Creamy Cake,4,0,0,-1,-1,5,-1,2,4,-1,2,2,70,5,Grants EXP (all types) to all residents.,<po=m>+<0> to all residents'<br>EXP!,8,34,500,500,-1,0,0,0,-1,0,0,0,0,0,32864,"android, ios, multiple usable"
43,Wairo Creamy Cake,4,0,0,-1,-1,5,-1,3,4,-1,2,2,70,5,Grants EXP (all types) to all residents.,<po=m>+<0> to all residents'<br>EXP!,8,34,500,500,-1,0,0,0,-1,0,0,0,0,0,32864,"android, ios, multiple usable"
44,HP Orb,4,0,0,1,-1,4,-1,3,2,-1,2,2,40,15,Increases everyone's HP EXP.,HP EXP +<0> for all!,8,10,35,35,-1,0,0,0,-1,0,0,0,0,0,32864,"android, ios, multiple usable"
45,MP Orb,4,0,0,1,-1,4,-1,4,2,-1,2,2,40,15,Increases everyone's MP EXP.,MP EXP +<0> for all!,8,11,35,35,-1,0,0,0,-1,0,0,0,0,0,32864,"android, ios, multiple usable"
46,Vigor Orb,4,0,0,1,-1,4,-1,5,2,-1,2,2,40,15,Increases everyone's Vigor EXP.,Vigor EXP +<0> for all!,8,12,35,35,-1,0,0,0,-1,0,0,0,0,0,32864,"android, ios, multiple usable"
47,Power Orb,4,0,0,1,-1,4,-1,6,2,-1,2,2,40,15,Increases everyone's ATK EXP.,ATK EXP +<0> for all!,8,13,35,35,-1,0,0,0,-1,0,0,0,0,0,32864,"android, ios, multiple usable"
48,Resilience Orb,4,0,0,1,-1,4,-1,7,2,-1,2,2,40,15,Increases everyone's DEF EXP.,DEF EXP +<0> for all!,8,14,35,35,-1,0,0,0,-1,0,0,0,0,0,32864,"android, ios, multiple usable"
49,Agility Orb,4,0,0,1,-1,4,-1,8,2,-1,2,2,40,15,Increases everyone's Speed EXP.,Speed EXP +<0> for all!,8,15,35,35,-1,0,0,0,-1,0,0,0,0,0,32864,"android, ios, multiple usable"
50,Fortune Orb,4,0,0,1,-1,4,-1,9,2,-1,2,2,40,15,Increases everyone's Luck EXP.,Luck EXP +<0> for all!,8,16,35,35,-1,0,0,0,-1,0,0,0,0,0,32864,"android, ios, multiple usable"
51,Miracle Mallet,4,0,0,1,-1,3,-1,4,0,2,2,1,20,20,Instantly complete one facility under construction.,Construction complete!,5,3,1,1,-1,0,0,0,-1,0,0,0,0,0,352,"android, ios, shop sale"
52,Wisdom Orb,4,0,0,1,-1,4,-1,0,3,-1,2,2,40,15,Increases everyone's INT EXP.,INT EXP +<0> for all!,8,18,35,35,-1,0,0,0,-1,0,0,0,0,0,32864,"android, ios, multiple usable"
53,Dexterity Orb,4,0,0,1,-1,4,-1,1,3,-1,2,2,40,15,Increases everyone's DEX EXP.,DEX EXP +<0> for all!,8,19,35,35,-1,0,0,0,-1,0,0,0,0,0,32864,"android, ios, multiple usable"
54,Forage Orb,4,0,0,1,-1,4,-1,2,3,-1,2,2,40,15,Increases everyone's Gathering EXP.,Gathering EXP +<0> for all!,8,20,35,35,-1,0,0,0,-1,0,0,0,0,0,32864,"android, ios, multiple usable"
55,Travel Orb,4,0,0,1,-1,4,-1,3,3,-1,2,2,40,15,Increases everyone's Move EXP.,Move EXP +<0> for all!,8,21,35,35,-1,0,0,0,-1,0,0,0,0,0,32864,"android, ios, multiple usable"
56,Fondness Orb,4,0,0,1,-1,4,-1,4,3,-1,2,2,40,15,Increases everyone's Love EXP.,Love EXP +<0> for all!,8,22,35,35,-1,0,0,0,-1,0,0,0,0,0,32864,"android, ios, multiple usable"
57,Running Shoes,4,0,0,1,-1,4,-1,0,0,-1,2,2,40,15,Temporarily increases Move Speed for all residents.,Move Speed Up!,5,5,300,300,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
58,Blessed Rain,4,0,0,1,-1,5,-1,6,4,-1,2,2,70,5,Restores wasteland to its natural state.,All wasteland restored!,5,7,1,1,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
59,Bounty Bag,4,0,0,1,-1,5,-1,2,0,-1,2,2,70,5,Contains all kinds of town resources.,All materials replenished!,7,0,100,100,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
60,<pic=grass> Pouch,4,0,0,1,-1,2,-1,5,3,-1,2,1,10,20,Replenishes this type of material.,<pic=grass> replenished!,7,1,100,100,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
61,<pic=wood> Pouch,4,0,0,1,-1,3,-1,6,3,-1,2,1,20,20,Replenishes this type of material.,<pic=wood> replenished!,7,2,100,100,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
62,<pic=food> Pouch,4,0,0,1,-1,3,-1,7,3,-1,2,1,20,20,Replenishes this type of material.,<pic=food> replenished!,7,3,100,100,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
63,<pic=iron> Pouch,4,0,0,1,-1,4,-1,8,3,-1,2,2,40,15,Replenishes this type of material.,<pic=iron> replenished!,7,4,100,100,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
64,<pic=magic> Pouch,4,0,0,1,-1,4,-1,9,3,-1,2,2,40,15,Replenishes this type of material.,<pic=magic> replenished!,7,5,100,100,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
65,Skill Slots Up,4,0,0,1,-1,5,-1,4,4,-1,2,2,70,5,Adds an extra skill slot for one resident.,+1 Skill Slot,9,0,1,1,-1,0,0,0,-1,0,0,0,0,0,104,"price raise, android, ios"
66,Bronze Trophy,4,0,0,2,-1,2,-1,5,0,-1,2,1,10,20,Available from the Trophy Room.<br>For decoration only.,It sure is pretty.,0,0,1,1,-1,0,0,0,-1,0,0,0,0,0,2152,"price raise, android, ios, unuseable"
67,Silver Trophy,4,0,0,2,-1,3,-1,6,0,-1,2,1,20,20,<po=m>Available from the Trophy Room.<br>For decoration only.,It sure is pretty.,0,0,1,1,-1,0,0,0,-1,0,0,0,0,0,2152,"price raise, android, ios, unuseable"
68,Gold Trophy,4,0,0,2,-1,4,-1,7,0,-1,2,2,40,15,<po=m>Available from the Trophy Room.<br>For decoration only.,It sure is pretty.,0,0,1,1,-1,0,0,0,-1,0,0,0,0,0,2152,"price raise, android, ios, unuseable"
69,Kairo Grail,4,0,0,2,-1,5,-1,8,0,-1,2,2,70,5,<po=m>Available from the Trophy Room.<br>For decoration only.,It sure is pretty.,0,0,1,1,-1,0,0,0,-1,0,0,0,0,0,2152,"price raise, android, ios, unuseable"
70,Crown of Courage,4,0,0,2,-1,5,-1,9,0,-1,2,2,70,5,<po=m>Available from the Trophy Room.<br>For decoration only.,It sure is pretty.,0,0,1,1,-1,0,0,0,-1,0,0,0,0,0,2152,"price raise, android, ios, unuseable"
71,Farm Produce,5,1,0,-1,1,2,5,3,0,1,2,1,50,40,Not used,Not used,2,19,10,15,2,8,7,0,-1,0,2,15,9,0,270954,"visitor ok, price raise, android, ios, select town when get, tool, transport except food"
72,Nuts,5,1,0,-1,1,2,5,4,0,1,2,1,50,40,Not used,Not used,2,19,10,15,2,8,7,0,-1,0,2,15,9,0,270954,"visitor ok, price raise, android, ios, select town when get, tool, transport except food"
73,National Flag,5,1,0,-1,-1,6,5,5,0,1,2,3,50,20,Not used,Not used,2,10,100,150,3,25,70,0,-1,0,16,150,37,0,270954,"visitor ok, price raise, android, ios, select town when get, tool, transport except food"
74,Spring Water,5,1,0,-1,20,3,5,6,0,1,2,1,15,30,Not used,Not used,2,32,35,52,1,12,24,0,-1,0,6,52,17,0,328298,"visitor ok, price raise, android, ios, select town when get, harvest, transport except food"
75,Sturdy Board,5,1,0,-1,2,2,5,0,1,1,2,1,15,40,Not used,Not used,2,12,10,15,3,8,7,0,-1,0,2,15,9,0,270954,"visitor ok, price raise, android, ios, select town when get, tool, transport except food"
76,Large Nail,5,1,0,-1,2,2,5,1,1,1,2,1,20,40,Not used,Not used,2,12,15,22,3,8,10,0,-1,0,3,22,11,0,270954,"visitor ok, price raise, android, ios, select town when get, tool, transport except food"
77,Strong Rope,5,1,0,-1,2,2,5,2,1,1,2,1,30,40,Not used,Not used,2,12,20,30,3,8,14,0,-1,0,4,30,13,0,270954,"visitor ok, price raise, android, ios, select town when get, tool, transport except food"
78,High Grade Brick,5,1,0,-1,2,2,5,3,1,1,2,1,45,40,Not used,Not used,2,12,30,45,3,8,21,0,-1,0,5,45,15,0,270954,"visitor ok, price raise, android, ios, select town when get, tool, transport except food"
79,Iron Ore,5,1,0,-1,3,3,5,4,1,1,2,1,50,30,Not used,Not used,2,12,35,52,3,12,24,0,-1,0,6,52,17,0,270954,"visitor ok, price raise, android, ios, select town when get, tool, transport except food"
80,Bronze,5,1,0,-1,3,3,5,5,1,1,2,1,60,30,Not used,Not used,2,12,40,60,3,12,28,0,-1,0,7,60,19,0,270954,"visitor ok, price raise, android, ios, select town when get, tool, transport except food"
81,Gold Nugget,5,1,0,-1,3,4,5,6,1,1,2,2,65,25,Not used,Not used,2,12,45,67,3,16,31,0,-1,0,7,67,19,0,270954,"visitor ok, price raise, android, ios, select town when get, tool, transport except food"
82,Silk Cloth,5,1,0,-1,4,5,5,7,1,1,2,2,75,20,Not used,Not used,2,12,50,75,3,21,35,0,-1,0,8,75,21,0,270954,"visitor ok, price raise, android, ios, select town when get, tool, transport except food"
83,Strong Cloth,5,1,0,-1,4,5,5,8,1,1,2,2,80,20,Not used,Not used,2,12,55,82,3,21,38,0,-1,0,9,82,23,0,270954,"visitor ok, price raise, android, ios, select town when get, tool, transport except food"
84,Pretty Cloth,5,1,0,-1,4,6,5,9,1,1,2,3,120,20,Not used,Not used,2,12,80,120,3,25,56,0,-1,0,13,120,31,0,270954,"visitor ok, price raise, android, ios, select town when get, tool, transport except food"
85,Medicinal Herb,5,1,0,-1,5,2,5,0,2,1,2,1,15,40,Not used,Not used,2,11,10,15,3,8,7,0,-1,0,1,4,7,0,328426,"visitor ok, price raise, android, ios, craftable, select town when get, harvest, transport except food"
86,Leaf of Life,5,1,0,-1,5,2,5,1,2,1,2,1,35,40,Not used,Not used,2,11,25,37,3,8,17,0,-1,0,2,10,9,0,328426,"visitor ok, price raise, android, ios, craftable, select town when get, harvest, transport except food"
87,Enchanted Root,5,1,0,-1,5,3,5,2,2,1,2,1,45,30,Not used,Not used,2,11,30,45,3,12,21,0,-1,0,3,27,11,0,328426,"visitor ok, price raise, android, ios, craftable, select town when get, harvest, transport except food"
88,Fragrant Flower,5,1,0,-1,5,3,5,3,2,1,2,1,50,30,Not used,Not used,2,11,35,52,3,12,24,0,-1,0,3,31,11,0,328426,"visitor ok, price raise, android, ios, craftable, select town when get, harvest, transport except food"
89,Vitality Bottle,5,1,0,-1,5,3,5,4,2,1,2,1,60,30,Not used,Not used,2,31,40,60,3,12,28,0,-1,0,4,36,13,0,328426,"visitor ok, price raise, android, ios, craftable, select town when get, harvest, transport except food"
90,Magic Bottle,5,1,0,-1,5,4,5,5,2,1,2,2,80,25,Not used,Not used,2,31,55,82,3,16,38,0,-1,0,5,88,15,0,328426,"visitor ok, price raise, android, ios, craftable, select town when get, harvest, transport except food"
91,Mage's Potion,5,1,0,-1,5,4,5,6,2,1,2,2,95,25,Not used,Not used,2,32,65,97,1,16,45,0,-1,0,6,104,17,0,328426,"visitor ok, price raise, android, ios, craftable, select town when get, harvest, transport except food"
92,Sorcerer's Potion,5,1,0,-1,5,5,5,7,2,1,2,2,120,20,Not used,Not used,2,32,80,120,1,21,56,0,-1,0,8,200,21,0,328426,"visitor ok, price raise, android, ios, craftable, select town when get, harvest, transport except food"
93,Sage's Potion,5,1,0,-1,5,5,5,8,2,1,2,2,120,20,Not used,Not used,2,33,80,120,2,21,56,0,-1,0,8,200,21,0,328426,"visitor ok, price raise, android, ios, craftable, select town when get, harvest, transport except food"
94,Energy Drink,5,1,0,-1,5,6,5,9,2,1,2,3,80,20,Not used,Not used,2,34,55,82,4,12,38,0,-1,0,5,198,15,0,328426,"visitor ok, price raise, android, ios, craftable, select town when get, harvest, transport except food"
95,Sweet Medicine,5,1,0,-1,5,6,5,10,2,1,2,3,150,20,Not used,Not used,2,34,100,150,4,12,70,0,-1,0,10,360,25,0,328426,"visitor ok, price raise, android, ios, craftable, select town when get, harvest, transport except food"
96,Sweet Mushroom,5,1,0,-1,100,2,5,0,3,1,2,1,10,40,Not used,Not used,2,10,20,30,3,8,14,0,-1,0,7,60,11,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
97,Healthy Mushroom,5,1,0,-1,100,2,5,1,3,1,2,1,10,40,Not used,Not used,2,13,25,37,0,8,17,0,-1,0,8,74,12,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
98,Fresh Beans,5,1,0,-1,85,2,5,2,3,1,2,1,15,40,Not used,Not used,2,10,30,45,3,8,21,0,-1,0,10,90,13,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
99,Potato,5,1,0,-1,85,3,5,3,3,1,2,1,15,30,Not used,Not used,2,13,35,52,0,12,24,0,-1,0,11,104,14,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
100,Radish,5,1,0,-1,85,3,5,4,3,1,2,1,20,30,Not used,Not used,2,10,40,60,3,12,28,0,-1,0,13,120,15,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
101,Carrot,5,1,0,-1,85,3,5,5,3,1,2,1,20,30,Not used,Not used,2,13,45,67,0,12,31,0,-1,0,14,134,16,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
102,Onion,5,1,0,-1,85,4,5,6,3,1,2,2,25,25,Not used,Not used,2,10,50,75,3,16,35,0,-1,0,16,150,17,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
103,Cabbage,5,1,0,-1,85,4,5,7,3,1,2,2,25,25,Not used,Not used,2,13,55,82,0,16,38,0,-1,0,17,164,18,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
104,Tomato,5,1,0,-1,30,4,5,8,3,1,2,2,30,25,Not used,Not used,2,10,60,90,3,16,42,0,-1,0,19,180,19,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
105,Sweetcorn,5,1,0,-1,85,5,5,9,3,1,2,2,30,20,Not used,Not used,2,13,65,97,0,21,45,0,-1,0,20,194,20,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
106,Garlic,5,1,0,-1,85,6,5,10,3,1,2,3,35,20,Not used,Not used,2,10,70,105,3,25,49,0,-1,0,22,210,21,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
107,Salad,5,1,0,-1,30,6,5,11,3,1,2,3,35,20,Not used,Not used,2,13,75,112,0,25,52,0,-1,0,7,270,19,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
108,Berry,5,1,0,-1,35,2,5,0,4,1,2,1,5,40,Not used,Not used,2,14,15,22,1,8,10,0,-1,0,5,44,10,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
109,Orange,5,1,0,-1,70,2,5,1,4,1,2,1,10,40,Not used,Not used,2,14,25,37,1,8,17,0,-1,0,8,74,12,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
110,Apple,5,1,0,-1,70,2,5,2,4,1,2,1,20,40,Not used,Not used,2,14,40,60,1,8,28,0,-1,0,13,120,15,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
111,Banana,5,1,0,-1,70,3,5,3,4,1,2,1,25,30,Not used,Not used,2,14,50,75,1,12,35,0,-1,0,16,150,17,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
112,Pear,5,1,0,-1,70,3,5,4,4,1,2,1,30,30,Not used,Not used,2,14,60,90,1,12,42,0,-1,0,19,180,19,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
113,Strawberry,5,1,0,-1,35,4,5,5,4,1,2,2,35,25,Not used,Not used,2,14,75,112,1,16,52,0,-1,0,23,224,22,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
114,Grapes,5,1,0,-1,70,5,5,6,4,1,2,2,45,20,Not used,Not used,2,14,90,135,1,21,63,0,-1,0,28,270,25,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
115,Melon,5,1,0,-1,35,5,5,7,4,1,2,2,50,20,Not used,Not used,2,14,100,150,1,21,70,0,-1,0,31,300,27,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
116,Pineapple,5,1,0,-1,35,6,5,8,4,1,2,3,60,20,Not used,Not used,2,14,125,187,1,25,87,0,-1,0,38,374,32,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
117,Fruit Basket,5,1,0,-1,-1,6,5,9,4,1,2,3,75,20,Not used,Not used,2,14,150,225,1,25,105,0,-1,0,15,540,35,0,149226,"visitor ok, price raise, android, ios, craftable, select town when get, cooked goods, food, transport food"
118,Sea Snail,5,1,0,-1,25,2,5,0,5,1,2,1,10,40,Not used,Not used,2,16,25,37,1,8,17,0,-1,0,8,74,12,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
119,Clam,5,1,0,-1,25,2,5,1,5,1,2,1,15,40,Not used,Not used,2,18,30,45,2,8,21,0,-1,0,10,90,13,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
120,Mackerel,5,1,0,-1,25,2,5,2,5,1,2,1,15,40,Not used,Not used,2,19,30,45,2,8,21,0,-1,0,10,90,13,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
121,Tuna,5,1,0,-1,25,3,5,3,5,1,2,1,15,30,Not used,Not used,2,20,30,45,2,12,21,0,-1,0,10,90,13,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
122,Sea Bream,5,1,0,-1,25,3,5,4,5,1,2,1,15,30,Not used,Not used,2,21,30,45,2,12,21,0,-1,0,10,90,13,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
123,Sea Urchin,5,1,0,-1,25,3,5,5,5,1,2,1,15,30,Not used,Not used,2,22,30,45,2,12,21,0,-1,0,10,90,13,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
124,Shrimp,5,1,0,-1,25,4,5,6,5,1,2,2,25,25,Not used,Not used,2,16,50,75,1,16,35,0,-1,0,16,150,17,0,197226,"visitor ok, price raise, android, ios, select town when get, harvest, transport food"
