盾	Shield
靴を左右間違えていたので	I realized I was wearing my shoes on the wrong feet...
よくみたら違う場所にいた結果	I got lost and went to the wrong place...
朝ご飯を抜いて出かけた結果	I skipped breakfast and set off early...
なんと！	You won't believe this!
けっこう頑張ってみたところ…	I put in a really good effort...
本人はまだ認めたくないが…	I still refuse to believe it but...
困ったことに…	Things took a turn for the worse...
おやつの時間になったため…	I took a break to eat some snacks...
動物のエサを置いて見つけよう	Place some Monster Feed and see what happens.
釣り堀を置いて見つけよう	Place a Fishing Pond and see what happens.
アトリエを置いて見つけよう	Place a Studio and see what happens.
虫スポットを置いて見つけよう	Place a Bug Trap and see what happens.
失敗した…	We failed...
帰りました	We got home safely.
楽しかった!	That was a blast!
うまくいった!	We totally crushed it!
大成功だよ	It was a great success.
<po=m>ランクアップをすぐに完了します<br>あと <0>	<po=m>Instantly Rank Up<br><0> more
<po=m>ﾚﾍﾞﾙｱｯﾌﾟなどの際に所属した街から<br>費用が引かれます。<br>ﾚﾍﾞﾙ上限は所属ﾀｳﾝﾎｰﾙから算出されます。	<po=m>The cost of leveling up is deducted from the corresponding town.<br>Your max level depends on your Town Hall.
施設を撤去します	Remove facility
施設を入れ替えます	Change facility
<po=m>動画を最後まで見ると<br>ダイヤがもらえるよ!	Watch the whole video to get Diamonds!
<po=m>冒険キングダム島で王国を作っているよ。一緒に冒険しよう。<br>#カイロソフト<br>	<po=m>I'm creating my own kingdom in Kingdom Adventurers. Who wants to come explore with me?<br>#kairosoft<br>
<po=m>王国を撮影して<br>SNSでシェアしよう	Take a pic of your kingdom and share it on social media
<po=m>戦闘を取りやめて撤退します<br>※宝箱は獲得できません	<po=m>End the battle and retreat?<br>You will not receive any treasure.
<po=m>ﾊﾞﾄﾙﾎﾟｲﾝﾄを1日1回登録して<br>ﾗﾝｷﾝｸﾞ上位を目指そう!<br>ﾓﾝｽﾀｰを倒すとﾎﾟｲﾝﾄが貯まるよ!<br>※結果発表は、翌日になります。	<po=m>Register your Battle Points every day and aim for<br>the top rank!<br>Defeat monsters to earn points.<br>*Results will be posted the next day.
<po=m>ﾀﾞﾒｰｼﾞを与えるとﾎﾟｲﾝﾄUP<br>ﾀﾞﾒｰｼﾞを受けるとﾎﾟｲﾝﾄDown<br>うまく戦って高得点を目指そう<br>翌日に報酬をもらってね	<po=m>Your score will go up when you deal damage and<br>decrease when you take damage. Plan out your <br>battles to get the highest score and win<br>daily rewards!
<po=m>全員復活して途中から<br>再挑戦しますか<br><pic=money><0>	<po=m>Revive all and resume the battle?<br><pic=money><0>
<po=m>ﾌﾚﾝﾄﾞと討伐数をｼｪｱできます。<br>全ﾓﾝｽﾀｰを倒して賞品をもらおう	<po=m>You can share news of your victory<br>with friends.<br>Defeat all monsters to earn rewards.
<po=m>取得したアイテムを与える街を選んで下さい。<br>アイテム倉庫にしまわれます。<br>溢れた分は受け取れないので注意してください。	<po=m>Choose a town to send your items to.<br>Items will go to the Item Storehouse.<br>Any items left over will be lost.
<po=m>担当を取り消しますか<br>※溜めたポイントはなくなります	<po=m>Recall the leader?<br>*You will lose the points you've earned so far.
<po=m>担当中の研究がリセットされます。<br>よろしいですか	The current research project will be reset. Proceed?
<0>さん  洞窟撃破!	<0> conquered the cave!
<0>さん  洞窟で敗北…	The cave proved too much for <0>...
<po=m>他のプレイヤーとフレンドに<br>なると討伐で協力してもらえるよ<br>「ﾌﾚﾝﾄﾞ郵便局」に行ってみよう!	<po=m>Adding friends will allow you to help<br>each other during conquests.<br>Take a look at the Friend Post Office.
<po=m>対戦をお断りします。<br>よろしいですか。	Cancel the battle?
<po=m>経験値を<0>%受け継ぎます。<br>同じ職業だと<1>%ボーナス	<0>% of EXP will be carried over. Residents with the same job will get a <1>% bonus.
<po=m>能力と経験値を他の住民に渡します。<br>設定すると街に戻せなくなります。	<po=m>You can transfer stats and EXP to other residents.<br>Once assigned they cannot return to town.
<po=m>師匠に設定します。<br>※街に戻せなくなります。	<po=m>Assign as Instructor?<br>*They won't be able to return to town.
<po=m><0>は<br>荒野に去っていきました	<po=m><0><br>wandered off into the wasteland.
お得ﾀﾞｲﾔ	<po=m>Diamond<br>Deals
<po=m>資源やアイテムは派遣と<br>討伐を繰り返すと入手できます	<po=m>Deploy residents on quests and<br>conquests to get materials and items.
冒険者 <0>さん 滞在を終え帰国	Adventurer <0> returned to their homeland.
冒険者 <0>さん 力尽きました…	Adventurer <0> is exhausted...
<po=m><pic=money><0>を使用して<br>ゲージを回復しますか?	<po=m>Use <pic=money><0><br>to refill gage?
ワイロダンジョンが出現しました	The Wairo Dungeon has appeared!
ワイロダンジョンが消滅しました	The Wairo Dungeon disappeared.
参加モンスターが経験値 <0> GET!	Participating Monsters got <0> EXP!
派遣をキャンセルしますか?	Cancel deployment?
<po=m>冒険キングダム島で今!<br>ワイロダンジョンが出現中だよ!<br>急げ!<br>#カイロソフト<br>	<po=m>Wairo Dungeons are now appearing in Kingdom Adventurers! Check them out before they're gone!<br>#kairosoft<br>
<po=m>スクリーンショットのシェアで<br>1度だけ<pic=stamina>が回復します。<br>お友達に拡散しよう	<po=m>Share a screenshot to recover <pic=stamina>.<br>(one time only)<br>Whose will be the best?
<po=m><0> を<br>モンスター牧場へ入れますか?	<po=m>Send <0> to<br>the Monster Farm?
<po=m>設定すると他の街で呼ぶまで<br>街からいなくなります	<po=m>They will be gone from the town until you call them<br>at another town.
<po=m>呼び出すには空きのある<br>タウンホールを選択してください	Select a Town Hall with empty spaces.
<po=m>このエリアのボスを塞ぎますか?<br>エリアは再び雲に覆われます。	<po=m>Lock up this area's boss?<br>The fog will return to this area.
色んな装備を集めて交換してね	<po=m>Find lots of equipment and trade<br>it for new items.
曜日によって職業が変わります。	Jobs change according to days of the week.
襲撃が収まりました。	The attack's over.
ﾗﾝｸで技装備枠が増加します	More skill slots will be unlocked at higher ranks.
<po=m>ｱﾌﾟﾘの更新が必要です<br>ｱﾝｲﾝｽﾄｰﾙしないで下さい	<po=m>A software update is required.<br>Please do not uninstall.
<po=m>枠を <0> 個追加しますか<br><pic=money><1>	<po=m>Increase available slots by <0>?<br><pic=money><1>
<po=m>枠を <0> 個追加しました<br>現在 最大 <1>	<po=m>Increased slots by <0>.<br>Current max: <1>
<po=m>大人になった第二世代の民<br>保育所には戻せなくなります。	<po=m>Residents' children who have grown up cannot be placed<br>in day care.
さらに<0>%UP!	Extra <0>%!
<0>日	<0>D
<0>時間	<0>hr
<0>分	<0> min
<0>秒	<0>s
<0>カイロパークへ接続します	<0> Connect to Kairopark
ゲームを終了して<br>	Quit the game and<br>
<po=m>ロードに失敗しました<br>１つ前のデータへ戻しますか？	Load failed. Return to previous data?
アプリの再起動をお願いします	Please restart the app.
フレンドID：「<0>」	Friend ID: <0>
読み込み中({0:f2}%)	Loading ({0:f2}%)
―	―
＼	＼
｜	｜
／	／
しばらくお待ちください	Please wait...
ﾃﾞﾊﾞｯｸﾞﾓｰﾄﾞではﾀｲﾑｽﾀﾝﾌﾟの確認を行いません。	debug mode
<po=m>ｱﾌﾟﾘ情報に間違いがあります。<br>ｽﾄｱから再ｲﾝｽﾄｰﾙしてください。	App data is corrupted. Please re-install from the store.
撮影	Screenshot
アイテム倉庫表示を変更	Change Item Storehouse Display
万	G
万円	G
自分の順位を表示	not use
ランキングを表示	not use
1週間	not use
歴代	not use
現在のﾌﾟﾚｲﾎﾟｲﾝﾄ	not use
いつのﾗﾝｷﾝｸﾞ	not use
を見ますか？	not use
[以前のスコア]	not use
エラーが発生しました	An error occurred.
<0>のﾗﾝｷﾝｸﾞ	not use
<0>位	#<0>
(未登録)	not use
---位/---位	not use
前回から <0> ｱｯﾌﾟ!	not use
前回から <0> ﾀﾞｳﾝ!	not use
<0>位/<1>位	<0>/<1>
平均レベル	Average Level
攻撃	ATK
防御	DEF
ランク	Rank
お気に	Fave
職種	Job
お問合せﾃﾞｰﾀの送信	Send inquiry
お問合せコードを入力	Enter inquiry code
エラー内容	Error details
※デバッグ※	not use
'save.bin'をダウンロードしますか？	Download "save.bin"?
まるごと送信します	Sending everything.
<po=m>お問合せデータを送信します<br>個人情報は送信されません	<po=m>Your personal information will not<br>be included in the message.
<po=m>送信ありがとうございました。<br>調査完了まで時間がかかる場合がございます。<br><br>※ストアで最新版をご確認ください。<br>※アプリは削除しないでください。	<po=m>Thank you for notifying us of the error.<br>It may take us some time to investigate it.<br><br>*Please check if there is a newer version in the store.<br>*Please do not delete the app.
<po=m>送信を完了しました。<br>ご協力ありがとうございます。<br>サポートへのご連絡も<br>お願い致します。	<po=m>Sent.<br>Thank you for your co-operation.<br>Please also contact our customer<br>support.
エラー	Error
データに互換性がありません	Incompatible data detected.
システムデータも上書きしますか	Overwrite system data?
ﾌﾚﾝﾄﾞID以外を上書きしますか	Overwrite all except Friend ID?
失敗	Failed.
ファイルが見つかりません。	File not found.
受信完了しました。<0>	Data received successfully. <0>
<br>ｱﾌﾟﾘを終了します	<br>The app will now close.
該当するデータが存在しません。	No corresponding data found.
データの受信中	Receiving data
リスト	List
貿易	Trade
ショップ	SHOP
攻撃的	Attack
守備的	Defense
平均的	Balanced
特殊	Special
解像度	Resolution
人	Characters
夜演出	Night/Day
描画	Rendering
ｵｰﾄｾｰﾌﾞ	Autosave
ｽｸﾘｰﾝ	Screen
ズーム	Zoom
ﾌｷﾀﾞｼON	Speech ON
ﾌｷﾀﾞｼOFF	Speech OFF
多め	More
少なめ	Less
ﾌﾙ	All
ﾉｰﾏﾙ	Standard
父の職業	Father's Job
組合せ職業	Compatible Job
母の職業	Mother's Job
購入履歴	Purchases
増減状況	Balance Changes
購入履歴はありません	No purchase history.
増減状況はありません	No balance changes.
ｹﾞｰﾑ中	In game
通信関連	Connection
ｼｮｯﾌﾟ	Shop
起動ﾎﾞｰﾅｽ	Activity Bonuses
有効期間切れ	Expired
動物	Animal
魚	Fish
美術品	Art
虫	Bug
派遣	Deployment
討伐	Conquest
初の出発	First Quest
あたま	Head
防具	Armor
頭	Head
ｱｸｾ	Acc.
回復	Recovery
仲間の数	Allies
範囲(ﾏｽ数)	Range (Tiles)
敗北回数	Defeats
ﾀｳﾝﾎｰﾙ収納資源	Stored Town Hall Materials
ｴﾅｼﾞｰ収穫	Collected Energy
ｴﾅｼﾞｰ収穫時間	Energy Collection Time
全体用ｱｲﾃﾑ	Group Items
モンスター牧場へようこそ	Welcome to the Monster Farm
連れていくモンスターを選んでください	Select monsters to take with you.
合成するモンスターを選んでください	Select monsters to fuse.
強化したいモンスターを選んでください	Select monsters to strengthen.
アイテム	Items
住民入替え	Switch Residents
派遣する住民	Deploy Residents
担当者を選択	Select Leader
討伐メンバー	Conquest Party Members
協力フレンド	Friends
同居者を選択	Select Roommate
出場者を選択	Select Participants
引越し候補	Can Be Moved
降順	Descending
昇順	Ascending
別れる	Dismiss
ｱｲﾃﾑ屋	Item Shop
装備屋	Equipment Shop
家具屋	Furniture Shop
技屋	Skill Shop
新しく探す	Search Again
取得済み	Acquired
埋蔵量	Deposits
回復時間	Recovery Time
採掘量	Ores
採掘時間	Mining Time
いいえ\tはい	Cancel\tOK
<po=m><0>です。<br>撤去できません	<po=m><0>.<br>Cannot be removed.
調査中	Surveying
デート中	On a Date
回収する\t<pic=money><0>	Collect\t<pic=money><0>
通常の方法で探す	Normal Search
引越し屋から探す	Mover Search
保育所から探す	Day Care Search
タマゴをセット	Set Egg
モンスターを呼ぶ	Call Monsters
※<0>が必要です	*<0> required
牧場に入れる	Send to Farm
<po=m>牧場に入れる<br><0>/<1>	<po=m>Send to Farm<br><0>/<1>
育成する	Train
合成する<br>	Fuse<br>
お別れする	Release
HPは全快です	HP already full
HP回復	HP while walking.
日替りモンスターの購入	Purchase Daily Monster
<0>をあげる	Give <0>
<0> → <1>	<0> to <1>
<po=m><0><br>あと<1>匹休めます	<po=m><0><br><1> more can rest
相性◎	Compatibility OK!
装備品にスワイプしましょう	Swipe that equipment!
<po=m>この装備品は既に限界まで<br>鍛えられています。	This equipment has already been upgraded to its max level.
<0>個で解除	<0> to unlock
所持数	Stock
<pic=money> <0> ロック解除	<pic=money> <0> Unlock
ロックの解除方法を選んでください	Select an unlock method.
<po=m><0>と<br>お別れします	<po=m>Send away<br><0>
<po=m><0>の<br>HPが回復しました!	<po=m><0>'s HP<br>has been refilled!
<po=m>アイテムを消費して<br><0>を上昇させますか	<po=m>Use items to level up<br><0>?
販売ランク	Sales Rank
販売レベル	Sales Level
<0>軒	<0>
討伐数:<0>体	Vanquished: <0>
<po=m>フレンドが増えると<br>討伐しやすくなるかも	Adding more friends will make battles easier.
今週の討伐が達成されました!	Completed weekly conquest!
食べ物	Food
食べ物以外	Not Food
<po=m><0>さん<br><1>さん<br>の子供が成長して…	<0> and <1>'s kid has grown up.
大人になる時が来た!	It's time to take that big step into adulthood!
<po=m>ﾗﾝｸ<0><br>職業  <1>  になった!	They became a Rank <0> <1>!
<po=m><0>さん<br><1>さん<br><2>人目の子供がうまれました!	<po=m><0> and <1>'s baby has been born!<br>They now have <2> offspring.
<0>で詳細が確認できます	Check the details under <0>.
おや…? 王様の様子が…	Oh, will you look at the king...
<0>ランクになった!	Rank <0> reached!
研究担当の決定	Research Leader
誰に研究してもらいますか	Who will you ask to do research?
<po=m>研究できる人が居ません<br>職業「<0>」を街に招こう	<po=m>No researchers available.<br>Try inviting a <0> to town.
研究中は他のことはできなくなります。	They won't be able to perform any other tasks while researching.
新しい研究を発見!	New research project discovered!
お試しフレンドは見つかりませんでした。	No suggested friends found.
<po=m>気になるユーザーに積極的に<br>申請してみよう	Send a request to other players to add them as friends.
申請	Request
忙しい…	Busy...
でかける	Depart
いくつ購入しますか?	Purchase how many?
<pic=money>が足りません	Not enough <pic=money>.
ダイヤを増やす	Add Diamonds
<po=m>あたらしい住民を追加するには<br>貿易で<co=20f0f0>職業を入手</co>しましょう。	Trade to get new jobs and then you'll be able to add more residents.
コイン <0>枚 手に入れた！	Got <0> coin(s)!
モンスター育成	Raise Monsters
倉庫にあるタマゴを投入できます	You have hatchable eggs in your storehouse.
タマゴがありません	No eggs.
同ﾗﾝｸ未満の同色のﾀﾏｺﾞでﾚﾍﾞﾙ上限1UP	Increase max level using eggs of same color and  rank or lower.
与える	Give
プロフィール	Profile
ﾗﾝｸ	Rank
攻め込まれた時に防衛してくれます	Will defend the town when under attack.
家主が行く討伐についていきます	Will join quests the Household Head goes on.
育成	Train
技一覧	Skill List
空き	Empty
追加する	Add
エリアをひとつ解放した!	You unlocked a new area!
対戦履歴	Battle History
全ての戦績	All Battle Records
<0>戦<1>勝<2>敗	<0> Battles <1> Wins <2> Losses
挑まれた戦績	Challenges Accepted 
挑んだ戦績	Challenges Made
対戦履歴はありません。	No battle history.
履歴は最大<0>件までです	Max <0> records are kept.
◎勝利	Victory
×敗北	Defeat
あと<0>時間<1>分	Time Left: <0>:<1>
リベンジ	Rematch
ﾊﾞﾄﾙﾗﾝｸ	Battle Rank
ﾊﾞﾄﾙPt	Battle Points
<0>勝<1>敗	Wins: <0> Losses: <1>
挑まれた戦績 <0>戦<1>勝<2>敗	Challenges Accepted: <0> Wins: <1> Losses: <2>
<po=m>ﾘﾍﾞﾝｼﾞ成功!<br>×<0>	<po=m>You won the rematch!<br>x<0>
ランクダウン	Rank Down
また今度	Not now
フレンド申請	Friend Request
勝利をおさめました	You emerged victorious!
負けてしまいました…	You were defeated...
<0>を手に入れた!	You got <0>!
対戦相手	Opponent
<po=m>出場<br>ﾒﾝﾊﾞｰ<br><0>/<1>	<po=m>Participants<br><0>/<1>
相手変更	Change Opponent
お断りする	Decline
ﾊﾞﾄﾙpt +<0>	Battle Points +<0>
過去のスコア 	Previous Score 
最高	Max
未登録	Not Registered
送信済のハイスコアはありません	No high scores sent
登録	Register
結果発表待ち	Waiting for Results
期限切れ	Expired
再取得	Reacquire
<0>ランク報酬	Rank <0> Reward
昨日のポイント	Yesterday's Points
<0>人中	Out of <0>
本日のスコア	Today's Score
本日のポイント	Today's Points
0時前後の10分間は登録できません	You can't register between 23:50 and 00:10.
本日はまだポイントを獲得していません	You haven't got any points yet today.
送信する	Send
登録済 : <0>	Registered <0>
再登録する	Re-register
所属する街の選択	Assign to a town
未所属	Not assigned a town
どの街に所属させますか	Assign to which town?
まだ発見されていません…	Not discovered yet
なにを建築しますか	What would you like to build?
<po=m><0>完成!!<br>収納上限が<1>UP!	<po=m><0> complete!<br>Max Capacity +<1>!
建築物一覧	Building List
設置数	Placed:
住所	Location
建築物がありません	No buildings.
<po=m>銅貨1枚と交換します。<br>街を選んでください。	<po=m>Exchange for 1 Copper Coin.<br>Select a town.
更新	Update
残り	Left
フレンド討伐状況	Friends' Quest Status
<0>の討伐数	Conquests: <0>
今回の報酬	Today's Rewards
中身を見る	Check Contents
達成	Done
残り<0>体	<0> Left
<po=m><0><br><1>体倒せ!	<po=m>Defeat <0><br>x<1>!
あなた	You
ﾌﾚﾝﾄﾞ	Friend
討伐ボーナス	Conquest Bonus
荷車の設定	Pushcart Settings
他の街から資源をもらいます	Get materials from other towns.
がんばるぞ	Let's do this!
担当者	Leader
行先	Destination
運ぶ資源	Materials to Carry
休止する	Cancel
職業の選択	Choose Job
職業を選んで下さい	Select a job.
強い親同士の子供ほど強くなるかも	Strong parents will raise strong kids, it's just common sense.
×<0>	x<0>
有料の<0>から先に使用されます	Paid <0>s are used up first.
購入した<0>の有効期間は<1>日です	Your <0> purchase is valid for <1> D.
有効期間が過ぎました	Expired.
使用済み	Already used
あと <0>個	<0> left
有効期間 <0>日	Expires in <0> D
有料	Paid
無料	Free
<0>⇒<1>	<0> ⇒ <1>
ビギナー応援	Newbie Support
お得なキャンペーン	Great Deals
お得セール	Special Sale
月に1度きり!	Only once a month!
ログイン5日毎のお得セール	Sale every 5th day played!
購入ﾀﾞｲﾔの有効期間は180日	Diamonds expire after 180 days
販売終了:<0>	Sale ends: <0>
いまだけお得なダイヤ増量セール	Only now! Special Diamond deal!
購入済です	Purchased
買う	Buy
ダイヤショップ	Diamond Shop
所持	Owned
<0>枚	<0>
購入ﾀﾞｲﾔの有効期間は180日です	Purchased Diamonds expire after 180 days.
￥9,999	not use
金貨ショップ	Gold Shop
<po=m>金貨をしまう街を選んでから<br>交換を選んでください。	Select a town which stores Gold Coins to trade.
交換する	Exchange
収集リスト	Collection
最高記録 B<0>F	Record: B<0>F
討伐に出発	Go on a Quest
ﾒﾝﾊﾞｰを選んで出発しましょう	Pick your team members and head out!
出撃メンバーを選択	Choose Team Members
フレンド選択	Choose Friends
挑戦する	Challenge!
住民 <0>人	Residents: <0>
ｷｬﾝｾﾙ	Cancel
<po=m>一旦<br>塞ぐ	Blocked Off
相性 <0>	Compat. <0>
帰宅	Go home
親密度 <0>%UP!	Affection +<0>%!
デートスポット	Dating Spot
あと<0>組	<0> More
所要 <0>時間	Time: <0> hr
親密になるかも	I think they could really hit it off.
出発すると街からしばらくいなくなります	Once they depart, they'll be away from the town for a while.
保育所	Day Care
成長すると街に配属できます	Can be assigned to a town once grown up.
成長まで	Grows up in:
大人になれます	Ready for adulthood!
Lv平均	Average Lv.
私も行きます!	I'm going too!
<po=m><0>さん<br><1>先に出発します!	<0> departed for <1>!
「更新できない場合」	About Update Errors
タマゴを育成	Hatch Egg
孵化 <0>	Incubate <0>
 -<0>分	 -<0> min
投入残り	Item Uses Left
アイテム投入	Use Item
タマゴ一覧	Egg List
街名 <0>	Town Name: <0>
選択できるタマゴはありません	No available eggs.
育成するタマゴを選んで下さい	Choose an egg to hatch.
うっ…	Nrgh...
<0>の<1>さん	<1> from <0>
寿命が尽きました…	has passed away...
装備交換所	Equipment Exchange
現在、交換できるものがありません。	Nothing to exchange.
ロック	Lock
属性	Element
<0>個ずつ	<0> Each
装備する <0>/<1>	Equip: <0>/<1>
苦手	Weak
技を変更	Change Skill
<po=m>戦闘系<br>のみ	<po=m>Battle-Type<br>Only
全員	All
<po=m>フレンドがしばらく<br>滞在してくれるようです!	Your friends will stick around for a little while longer.
<po=m><0>さん<br><1>	<po=m><0><br><1>
<po=m><0>に<br>引越ししてきました	Moved to <0>.
<0> と交換	Traded for <0>.
経験値を獲得しました	Got EXP!
周囲効果	Area of Effect
満タン	Max
<0>家	<0> Family
展示品	Exhibition Hall
価値	Price
閲覧数	Views
販売商品	On Sale
王	Monarch
容量	Capacity
レベルアップ	Level up
ランクアップ完了!	Ranked up!
レベルアップ完了!	Leveled up!
銅貨箱が必要	Copper Coin Box Required
ロック解除	Unlock
所要	Owned:
<po=m>お気に<br>設定中	Favorited
<po=m>お気に<br>OFF	<po=m>Remove<br>from<br>Faves
発見!	Discovered!
次回から募集できます。	You can now start recruiting.
新しい職業	New Job
<0>さんが自分の王国へ帰りました	<0> returned to their homeland.
フレンド　<0>/<1>	Friends: <0>/<1>
フレンドに討伐を協力してもらおう!	Team up with your friends!
フレンドリスト更新	Update Friend List
フレンドからお礼が届きました	Someone wants to thank you.
新規	New
<0>件	<0>
<0>件達成! !	<0> completed!
次は <0>件でボーナス	<0> more for next bonus
フレンドにお礼	Thank Your Friends
