,,,,,,,,,,,,,,,maxWarehouseNums [],,,,,,,,,
55,55,29000,165600,58,118,158,14400,50,50,4,26,4,10,20,9,0,52,52,52,52,52,52,52,52
56,56,30000,169200,59,120,160,14400,50,50,4,26,4,10,20,9,0,52,52,52,52,52,52,52,52
57,57,31000,172800,60,122,162,14400,50,50,4,26,4,10,20,9,0,52,52,52,52,52,52,52,52
58,58,32000,180000,61,124,164,14400,50,50,4,27,5,10,20,9,0,52,52,52,52,52,52,52,52
59,59,33000,187200,62,126,166,14400,50,50,4,27,5,10,20,9,0,52,52,52,52,52,52,52,52
60,60,34000,194400,63,128,168,14400,50,50,4,28,5,10,20,9,0,56,56,56,56,56,56,56,56
61,61,35000,201600,64,130,170,14400,50,50,4,28,5,10,20,9,0,56,56,56,56,56,56,56,56
62,62,36000,208800,65,132,172,14400,50,50,4,28,5,10,20,9,0,56,56,56,56,56,56,56,56
63,63,37000,216000,66,134,174,14400,50,50,4,29,5,10,20,9,0,56,56,56,56,56,56,56,56
64,64,38000,223200,67,136,176,14400,50,50,4,29,5,10,20,9,0,56,56,56,56,56,56,56,56
65,65,39000,230400,68,138,178,14400,50,50,4,30,5,10,20,9,0,60,60,60,60,60,60,60,60
66,66,40000,237600,69,140,180,14400,50,50,4,30,5,10,20,9,0,60,60,60,60,60,60,60,60
67,67,41000,244800,70,142,182,14400,50,50,4,30,5,10,20,9,0,60,60,60,60,60,60,60,60
68,68,42000,252000,71,144,184,14400,50,50,4,31,5,10,20,9,0,60,60,60,60,60,60,60,60
69,69,43000,259200,72,146,186,14400,50,50,4,31,5,10,20,9,0,60,60,60,60,60,60,60,60
70,70,44000,259200,73,148,188,14400,50,50,4,31,5,10,20,9,0,64,64,64,64,64,64,64,64
71,71,45000,280800,74,150,190,14400,50,50,5,32,5,10,20,9,0,64,64,64,64,64,64,64,64
72,72,46000,302400,75,152,192,14400,50,50,5,32,5,10,20,9,0,64,64,64,64,64,64,64,64
73,73,47000,324000,76,154,194,14400,50,50,5,33,6,10,20,9,0,64,64,64,64,64,64,64,64
74,74,48000,345600,77,156,196,14400,50,50,5,33,6,10,20,9,0,64,64,64,64,64,64,64,64
75,75,49000,367200,78,158,198,14400,50,50,5,33,6,10,20,9,0,68,68,68,68,68,68,68,68
76,76,50000,388800,79,160,200,14400,50,50,5,34,6,10,20,9,0,68,68,68,68,68,68,68,68
77,77,51000,410400,80,162,202,14400,50,50,5,34,6,10,20,9,0,68,68,68,68,68,68,68,68
78,78,52000,432000,81,164,204,14400,50,50,5,35,6,10,20,9,0,68,68,68,68,68,68,68,68
79,79,53000,453600,82,166,206,14400,50,50,5,35,6,10,20,9,0,68,68,68,68,68,68,68,68
80,80,55000,475200,83,168,208,14400,50,50,5,35,6,10,20,9,0,72,72,72,72,72,72,72,72
81,81,57000,496800,84,170,210,14400,50,50,6,36,6,10,20,9,0,72,72,72,72,72,72,72,72
82,82,59000,518400,85,172,212,14400,50,50,6,36,6,10,20,9,0,72,72,72,72,72,72,72,72
83,83,61000,540000,86,174,214,14400,50,50,6,36,6,10,20,9,0,72,72,72,72,72,72,72,72
84,84,63000,561600,87,176,216,14400,50,50,6,37,6,10,20,9,0,72,72,72,72,72,72,72,72
85,85,65000,583200,88,178,218,14400,50,50,6,37,6,10,20,9,0,76,76,76,76,76,76,76,76
86,86,67000,604800,89,180,220,14400,50,50,6,38,6,10,20,9,0,76,76,76,76,76,76,76,76
87,87,69000,626400,90,182,222,14400,50,50,6,38,6,10,20,9,0,76,76,76,76,76,76,76,76
88,88,71000,648000,91,184,224,14400,50,50,6,38,6,10,20,9,0,76,76,76,76,76,76,76,76
89,89,73000,669600,92,186,226,14400,50,50,6,39,7,10,20,9,0,76,76,76,76,76,76,76,76
90,90,80000,691200,93,188,228,14400,50,50,6,39,7,10,20,9,0,80,80,80,80,80,80,80,80
91,91,85000,712800,94,190,230,14400,50,50,7,40,7,10,20,9,0,80,80,80,80,80,80,80,80
92,92,90000,734400,95,192,232,14400,50,50,7,40,7,10,20,9,0,80,80,80,80,80,80,80,80
93,93,95000,756000,96,194,234,14400,50,50,7,40,7,10,20,9,0,80,80,80,80,80,80,80,80
94,94,100000,777600,97,196,236,14400,50,50,8,41,7,10,20,9,0,80,80,80,80,80,80,80,80
95,95,105000,799200,98,198,238,14400,50,50,8,41,7,10,20,9,0,84,84,84,84,84,84,84,84
96,96,110000,820800,99,200,240,14400,50,50,8,41,7,10,20,9,0,84,84,84,84,84,84,84,84
97,97,115000,842400,100,202,242,14400,50,50,9,42,7,10,20,9,0,84,84,84,84,84,84,84,84
98,98,120000,864000,105,204,244,14400,50,50,9,42,7,10,20,9,0,84,84,84,84,84,84,84,84
99,99,125000,885600,110,206,246,14400,50,50,10,43,7,10,20,9,0,84,84,84,84,84,84,84,84
100,100,150000,907200,120,208,248,14400,50,50,10,43,7,10,20,9,0,88,88,88,88,88,88,88,88
